Date,High,Low,Open,Close,Volume,Adj Close
"Nov 19, 2018",623.4,604.14,619.8,617.73,53748,615.68
"Nov 20, 2018",632.61,614.37,618.0,627.84,127903,625.94
"Nov 21, 2018",629.67,621.87,627.84,623.4,50944,621.51
"Nov 22, 2018",637.5,619.2,622.8,632.34,152979,630.42
"Nov 26, 2018",648.54,620.19,628.8,634.35,148861,632.43
"Nov 27, 2018",656.64,631.35,643.17,653.28,131976,651.3
"Nov 28, 2018",667.17,636.27,659.55,642.63,60106,640.68
"Nov 29, 2018",647.7,633.0,642.6,640.05,26864,638.11
"Nov 30, 2018",642.9,612.66,634.8,623.01,369283,621.12
"Dec 03, 2018",629.4,614.91,622.17,623.82,33456,621.93
"Dec 04, 2018",629.88,611.4,622.8,627.51,24278,625.61
"Dec 05, 2018",639.0,621.27,621.27,630.9,176684,628.99
"Dec 06, 2018",633.57,619.23,627.3,629.13,65668,627.22
"Dec 07, 2018",634.2,625.98,630.39,633.81,37701,631.89
"Dec 10, 2018",638.4,623.1,629.4,629.85,66934,627.94
"Dec 11, 2018",631.14,615.6,615.6,618.99,75271,617.12
"Dec 12, 2018",642.0,616.8,616.8,639.9,99394,637.96
"Dec 13, 2018",647.88,626.4,647.88,634.2,35004,632.28
"Dec 14, 2018",643.23,627.93,634.8,641.67,30393,639.73
"Dec 17, 2018",639.96,627.0,637.26,636.3,29471,634.37
"Dec 18, 2018",642.0,628.23,633.0,640.47,29814,638.53
"Dec 19, 2018",650.4,637.26,646.92,647.7,24549,645.74
"Dec 20, 2018",653.4,637.8,643.83,649.56,22323,647.59
"Dec 21, 2018",657.45,645.0,650.55,652.2,24274,650.22
"Dec 24, 2018",652.2,637.2,652.2,644.49,44601,642.54
"Dec 26, 2018",662.31,623.1,640.2,647.76,198616,645.8
"Dec 27, 2018",674.85,639.66,654.9,670.89,250708,668.86
"Dec 28, 2018",700.2,672.0,677.28,697.05,211683,694.94
"Dec 31, 2018",703.8,673.8,696.0,676.5,58833,674.45
"Jan 01, 2019",683.7,672.69,683.7,677.28,8971,675.23
"Jan 02, 2019",689.34,672.78,679.14,684.63,62253,682.56
"Jan 03, 2019",689.7,676.08,686.4,686.91,42789,684.83
"Jan 04, 2019",710.97,682.86,686.88,707.34,83146,705.2
"Jan 07, 2019",717.6,679.86,709.2,683.79,1035654,681.72
"Jan 08, 2019",693.84,681.81,688.2,688.68,23008,686.59
"Jan 09, 2019",718.68,684.81,690.0,704.01,82271,701.88
"Jan 10, 2019",726.0,704.97,717.0,710.97,155196,708.82
"Jan 11, 2019",719.88,699.93,712.8,704.61,29456,702.48
"Jan 14, 2019",701.97,670.92,699.0,677.52,88008,675.47
"Jan 15, 2019",690.0,677.55,677.55,682.47,25343,680.4
"Jan 16, 2019",686.85,672.06,684.0,680.19,23981,678.13
"Jan 17, 2019",684.6,664.77,681.33,667.14,102333,665.12
"Jan 18, 2019",672.0,657.0,672.0,659.46,43243,657.46
"Jan 21, 2019",667.86,644.4,659.46,647.88,19436,645.92
"Jan 22, 2019",647.37,623.64,643.2,626.85,212649,624.95
"Jan 23, 2019",643.68,621.69,634.2,634.95,310316,633.03
"Jan 24, 2019",640.8,630.0,634.95,633.21,21008,631.29
"Jan 25, 2019",640.8,612.12,640.8,618.09,65773,616.22
"Jan 28, 2019",657.0,612.57,615.3,650.64,77994,648.67
"Jan 29, 2019",666.54,630.72,659.94,652.86,41156,650.88
"Jan 30, 2019",688.8,648.06,654.0,675.81,455414,673.76
"Jan 31, 2019",685.2,667.74,672.0,678.72,34986,676.66
"Feb 01, 2019",692.94,660.6,678.0,664.14,62378,662.13
"Feb 04, 2019",689.01,664.2,666.09,678.15,40958,676.1
"Feb 05, 2019",704.4,676.83,684.0,684.45,42619,682.38
"Feb 06, 2019",716.4,685.77,692.28,702.9,118466,700.77
"Feb 07, 2019",713.7,690.69,695.91,695.22,409961,693.11
"Feb 08, 2019",694.89,656.28,694.89,664.86,59144,662.85
"Feb 11, 2019",702.0,656.67,660.0,685.47,285808,683.39
"Feb 12, 2019",692.25,674.55,685.2,690.0,138486,687.91
"Feb 14, 2019",700.2,672.45,700.2,677.19,59309,675.14
"Feb 15, 2019",688.17,672.78,681.6,684.45,106674,682.38
"Feb 18, 2019",690.0,657.18,680.4,660.6,243836,658.6
"Feb 19, 2019",674.97,657.87,657.87,673.23,51208,671.19
"Feb 20, 2019",675.9,647.43,666.48,659.04,353943,657.04
"Feb 21, 2019",660.6,636.6,653.4,644.25,60809,642.3
"Feb 22, 2019",666.0,634.23,642.6,663.12,89473,661.11
"Feb 25, 2019",672.0,654.33,670.14,659.94,44471,657.94
"Feb 26, 2019",673.11,645.0,660.0,660.15,59241,658.15
"Feb 27, 2019",671.97,648.78,671.97,653.25,165613,651.27
"Feb 28, 2019",660.0,642.0,660.0,648.36,162499,646.4
"Mar 01, 2019",658.8,648.0,648.0,650.7,56726,648.73
"Mar 05, 2019",672.0,650.4,651.0,664.29,302464,662.28
"Mar 06, 2019",705.0,666.0,666.0,699.48,149314,697.36
"Mar 07, 2019",739.65,699.6,704.88,719.7,216803,717.52
"Mar 08, 2019",728.91,713.1,725.22,719.97,165743,717.79
"Mar 11, 2019",734.37,708.78,726.0,727.02,169333,724.82
"Mar 12, 2019",758.82,729.6,730.44,748.29,163801,746.02
"Mar 13, 2019",777.0,717.15,750.0,725.91,118433,723.71
