Date,High,Low,Open,Close,Volume,Adj Close
"Nov 19, 2018",71.16,68.75,70.43,69.21,4115000,66.79
"Nov 20, 2018",68.78,67.45,67.74,67.61,3786300,65.24
"Nov 21, 2018",69.59,67.71,68.31,68.67,4757300,66.27
"Nov 23, 2018",68.96,67.83,68.06,67.98,1290200,65.6
"Nov 26, 2018",69.07,68.37,68.66,68.75,2666700,66.34
"Nov 27, 2018",70.0,68.36,68.51,69.9,5236200,67.45
"Nov 28, 2018",70.88,69.51,69.97,70.76,3515100,68.28
"Nov 29, 2018",70.95,70.11,70.49,70.3,2555700,67.84
"Nov 30, 2018",71.29,70.06,70.62,71.23,4139100,68.74
"Dec 03, 2018",72.23,71.11,71.69,71.93,3567000,69.41
"Dec 04, 2018",71.99,69.74,71.9,70.02,3261300,67.57
"Dec 06, 2018",69.48,68.11,69.1,69.4,4303100,66.97
"Dec 07, 2018",69.76,67.59,69.39,68.0,3318600,65.62
"Dec 10, 2018",68.66,66.42,68.01,67.09,5324200,64.74
"Dec 11, 2018",68.44,66.6,68.21,67.26,3949800,64.91
"Dec 12, 2018",69.23,67.99,68.44,68.03,3135500,65.65
"Dec 13, 2018",69.29,67.82,68.14,69.08,4129900,66.66
"Dec 14, 2018",68.87,67.58,68.23,67.77,2945300,65.4
"Dec 17, 2018",67.76,64.05,67.43,64.67,5026200,62.41
"Dec 18, 2018",65.49,64.16,65.14,64.62,4206100,62.36
"Dec 19, 2018",66.04,63.63,64.91,64.23,3457700,61.98
"Dec 20, 2018",64.47,62.05,63.91,62.78,4413000,60.58
"Dec 21, 2018",63.65,59.8,62.85,60.09,10209700,57.99
"Dec 24, 2018",60.96,59.66,60.07,60.02,3542700,57.92
"Dec 26, 2018",62.36,59.47,60.6,62.36,3516800,60.18
"Dec 27, 2018",63.11,60.89,61.68,63.08,3386000,60.87
"Dec 28, 2018",63.9,62.42,63.41,62.93,2335400,60.73
"Dec 31, 2018",63.66,63.02,63.24,63.48,2338200,61.26
"Jan 02, 2019",63.81,62.5,62.5,63.09,3045600,60.88
"Jan 03, 2019",62.97,61.01,62.36,61.1,3895700,58.96
"Jan 04, 2019",63.8,61.95,62.28,63.7,4885600,61.47
"Jan 07, 2019",63.97,62.8,63.35,63.6,3940400,61.37
"Jan 08, 2019",64.43,63.44,64.27,64.32,3427500,62.07
"Jan 09, 2019",64.8,63.98,64.62,64.26,2783000,62.01
"Jan 10, 2019",64.85,63.5,63.64,64.81,3314000,62.54
"Jan 11, 2019",65.19,64.58,64.78,64.92,3320600,62.65
"Jan 14, 2019",65.02,64.34,64.46,64.63,4407500,62.37
"Jan 15, 2019",66.25,64.65,64.84,65.99,3550900,63.68
"Jan 16, 2019",66.08,65.45,65.9,65.79,3496900,63.49
"Jan 17, 2019",66.74,65.2,65.49,66.55,2367800,64.22
"Jan 18, 2019",68.03,66.97,67.55,67.82,3904900,65.45
"Jan 22, 2019",67.69,66.27,67.3,66.8,3698000,64.46
"Jan 23, 2019",67.45,66.21,66.96,67.06,3350200,64.71
"Jan 24, 2019",68.15,66.92,67.12,68.12,3336000,65.73
"Jan 25, 2019",70.32,69.25,70.25,70.02,4073900,67.57
"Jan 28, 2019",69.38,68.34,69.27,68.95,2771000,66.54
"Jan 29, 2019",69.23,68.38,69.0,68.66,2902300,66.26
"Jan 30, 2019",70.1,68.54,68.73,69.8,3646100,67.36
"Jan 31, 2019",70.31,69.41,69.86,69.68,3504100,67.24
"Feb 01, 2019",70.94,69.78,69.95,70.14,3218600,67.68
"Feb 04, 2019",71.51,69.94,70.07,71.29,3382100,68.79
"Feb 05, 2019",71.87,71.11,71.35,71.21,3978100,68.72
"Feb 06, 2019",74.69,70.0,70.02,74.5,7242000,71.89
"Feb 07, 2019",74.45,71.42,74.18,72.99,5880600,70.43
"Feb 08, 2019",73.54,72.18,72.46,73.16,4613200,70.6
"Feb 11, 2019",73.87,72.88,73.35,72.97,3986100,70.42
"Feb 12, 2019",73.62,72.88,73.42,73.45,3404000,70.88
"Feb 13, 2019",74.35,73.18,74.16,73.58,2998300,71.0
"Feb 14, 2019",73.64,72.92,73.06,73.12,1496200,70.56
"Feb 15, 2019",74.05,73.08,73.71,73.56,2875200,70.98
"Feb 19, 2019",73.57,72.64,73.21,73.18,3955700,70.62
"Feb 20, 2019",73.41,71.86,73.27,72.25,3171400,69.91
"Feb 21, 2019",72.42,71.12,72.1,71.34,4739000,69.03
"Feb 22, 2019",72.42,71.49,71.69,72.38,5585400,70.04
"Feb 25, 2019",73.0,72.14,72.93,72.25,4105300,69.91
"Feb 26, 2019",72.54,71.76,72.43,72.04,3629200,69.71
"Feb 27, 2019",71.72,70.96,71.72,71.31,5050400,69.0
"Feb 28, 2019",71.76,70.88,71.25,70.98,3699300,68.68
"Mar 01, 2019",72.22,70.8,70.91,72.13,2947800,69.8
"Mar 04, 2019",72.88,71.01,72.56,71.76,3278400,69.44
"Mar 05, 2019",71.99,71.34,71.69,71.39,2112900,69.08
"Mar 06, 2019",72.03,71.19,71.42,71.46,2691000,69.15
"Mar 07, 2019",72.72,71.66,72.32,72.33,5296300,69.99
"Mar 08, 2019",72.0,70.57,71.61,71.15,3912500,68.85
"Mar 11, 2019",72.39,71.3,71.37,72.35,3159200,70.01
"Mar 12, 2019",72.61,71.68,72.3,71.78,3622700,69.46
"Mar 13, 2019",72.33,71.15,71.93,71.21,3926900,68.91
"Mar 14, 2019",71.47,70.85,71.22,70.93,2577500,68.63
"Mar 15, 2019",72.36,70.94,71.06,72.13,4808900,69.8
"Mar 18, 2019",72.32,71.22,72.1,71.88,2376900,69.55
