Date,High,Low,Open,Close,Volume,Adj Close
"Nov 19, 2018",257.95,245.6,250.5,256.15,360540,251.73
"Nov 20, 2018",265.5,255.8,257.0,261.8,369147,257.28
"Nov 21, 2018",262.5,258.1,261.8,261.75,145492,257.23
"Nov 22, 2018",268.0,260.0,263.0,261.55,236964,257.04
"Nov 26, 2018",263.3,253.2,260.2,259.35,127224,254.88
"Nov 27, 2018",259.0,254.5,258.0,255.25,104032,250.85
"Nov 28, 2018",256.8,245.75,256.8,249.7,245037,245.39
"Nov 29, 2018",251.65,245.5,250.4,249.15,112574,244.85
"Nov 30, 2018",258.65,247.0,249.15,257.65,203692,253.2
"Dec 03, 2018",263.2,252.25,259.9,253.8,241881,249.42
"Dec 04, 2018",255.85,248.05,255.85,248.85,91101,244.56
"Dec 05, 2018",250.8,242.3,247.9,243.05,127380,238.86
"Dec 06, 2018",244.95,226.95,238.4,239.95,354127,235.81
"Dec 07, 2018",240.7,229.0,240.0,231.05,314959,227.06
"Dec 10, 2018",228.0,222.05,225.05,223.4,141993,219.55
"Dec 11, 2018",233.8,218.0,220.0,230.3,165729,226.33
"Dec 12, 2018",238.7,230.75,230.75,236.15,165813,232.08
"Dec 13, 2018",241.45,237.0,239.0,238.8,144033,234.68
"Dec 14, 2018",238.45,230.15,237.8,232.1,144921,228.1
"Dec 17, 2018",237.95,231.8,233.6,232.95,101666,228.93
"Dec 18, 2018",233.6,228.0,233.6,229.95,168885,225.98
"Dec 19, 2018",233.7,228.0,230.0,229.95,219855,225.98
"Dec 20, 2018",232.2,224.7,230.55,225.3,319132,221.41
"Dec 21, 2018",225.85,218.6,225.85,219.95,459650,216.15
"Dec 24, 2018",220.85,211.5,219.3,213.2,348996,209.52
"Dec 26, 2018",213.15,205.05,213.15,208.05,239585,204.46
"Dec 27, 2018",210.85,207.05,209.25,209.85,261736,206.23
"Dec 28, 2018",218.0,210.8,211.4,216.85,320189,213.11
"Dec 31, 2018",225.0,218.55,224.4,221.1,166362,217.29
"Jan 01, 2019",224.9,216.7,222.55,223.85,117461,219.99
"Jan 02, 2019",224.25,217.1,222.9,220.6,185150,216.79
"Jan 03, 2019",223.6,218.0,223.25,219.0,386933,215.22
"Jan 04, 2019",222.85,218.65,220.4,220.9,192618,217.09
"Jan 07, 2019",224.85,219.85,221.1,221.25,64405,217.43
"Jan 08, 2019",225.5,219.0,221.25,223.35,99499,219.5
"Jan 09, 2019",223.95,219.0,223.2,220.8,72565,216.99
"Jan 10, 2019",223.5,220.0,221.85,221.85,46839,218.02
"Jan 11, 2019",221.0,214.15,220.15,215.3,115098,211.59
"Jan 14, 2019",219.9,210.5,216.5,217.6,117285,213.85
"Jan 15, 2019",222.5,217.3,222.5,219.45,64818,215.66
"Jan 16, 2019",222.5,218.1,218.1,220.45,86847,216.65
"Jan 17, 2019",230.0,219.0,221.0,226.25,234451,222.35
"Jan 18, 2019",232.5,225.0,226.8,231.05,227900,227.06
"Jan 21, 2019",232.35,226.55,230.0,231.0,225416,227.01
"Jan 22, 2019",232.0,228.0,231.1,230.8,176752,226.82
"Jan 23, 2019",231.55,225.15,228.05,229.95,162104,225.98
"Jan 24, 2019",228.75,217.0,227.25,219.35,228792,215.57
"Jan 25, 2019",221.8,213.0,221.8,215.95,109209,212.22
