Date,High,Low,Open,Close,Volume,Adj Close
"Nov 19, 2018",521.4,507.13,511.1,520.05,4180070,494.56
"Nov 20, 2018",517.5,501.65,517.5,504.48,2628564,479.75
"Nov 21, 2018",507.0,489.77,501.52,492.58,2503064,468.43
"Nov 22, 2018",501.0,487.7,494.0,489.52,3129880,465.53
"Nov 26, 2018",502.95,481.5,492.25,500.25,4758562,475.73
"Nov 27, 2018",514.5,496.5,499.35,511.58,4103018,486.5
"Nov 28, 2018",523.88,506.17,511.6,521.55,2460574,495.98
"Nov 29, 2018",522.67,504.25,521.65,506.73,3260512,481.89
"Nov 30, 2018",513.15,502.13,509.0,507.5,4219388,482.62
"Dec 03, 2018",512.85,502.35,510.55,509.1,2908898,484.14
"Dec 04, 2018",521.5,508.52,509.05,518.13,2836286,492.73
"Dec 05, 2018",529.0,511.0,518.22,525.53,3873412,499.76
"Dec 06, 2018",532.75,504.5,524.67,506.25,4051262,481.43
"Dec 07, 2018",500.0,467.23,500.0,480.98,21093670,457.4
"Dec 10, 2018",485.35,468.55,479.98,471.0,6182964,447.91
"Dec 11, 2018",482.58,465.35,470.5,478.42,5605848,454.97
"Dec 12, 2018",487.0,471.65,482.5,485.63,3653708,461.82
"Dec 13, 2018",491.27,481.73,485.02,489.02,2756644,465.05
"Dec 14, 2018",484.4,475.0,483.0,480.6,4611032,457.04
"Dec 17, 2018",487.0,476.95,482.55,485.83,2792580,462.01
"Dec 18, 2018",494.4,479.7,484.98,492.6,3874502,468.45
"Dec 19, 2018",491.8,477.0,490.0,478.58,6117266,455.12
"Dec 20, 2018",482.35,474.0,474.15,479.75,4527954,456.23
"Dec 21, 2018",482.0,472.5,478.52,477.23,10439250,453.83
"Dec 24, 2018",477.95,467.58,477.5,468.92,2941564,445.94
"Dec 26, 2018",473.85,465.5,469.0,471.4,2434064,448.29
"Dec 27, 2018",480.0,471.33,474.5,474.4,5096808,451.14
"Dec 28, 2018",481.5,475.0,476.05,479.17,1556666,455.69
"Dec 31, 2018",483.3,477.8,481.23,482.17,1437004,458.54
"Jan 01, 2019",482.5,476.42,481.0,479.92,717468,456.4
"Jan 02, 2019",481.0,469.58,479.5,473.17,2270096,449.98
"Jan 03, 2019",480.0,472.5,475.0,474.17,2809224,450.93
"Jan 04, 2019",475.27,462.5,473.0,466.17,3077278,443.32
"Jan 07, 2019",475.0,467.95,469.95,470.77,2344752,447.7
"Jan 08, 2019",474.0,466.55,474.0,472.58,3031576,449.41
"Jan 09, 2019",474.27,466.15,473.5,469.2,2471720,446.2
"Jan 10, 2019",471.5,466.0,471.5,467.92,1832096,444.99
"Jan 11, 2019",470.5,460.0,467.5,470.02,4331368,446.98
"Jan 14, 2019",472.0,464.0,470.5,468.6,1956808,445.63
"Jan 15, 2019",477.95,464.5,464.5,473.85,3693892,450.62
"Jan 16, 2019",477.1,468.38,474.0,469.13,1701242,446.13
"Jan 17, 2019",478.5,466.55,467.55,477.35,3690234,453.95
"Jan 18, 2019",484.38,473.17,474.3,483.15,4685056,459.47
"Jan 21, 2019",490.75,481.02,484.52,482.88,3265418,459.2
"Jan 22, 2019",482.27,468.5,481.0,470.38,4791592,447.32
"Jan 23, 2019",474.98,469.35,473.75,472.23,5641586,449.08
"Jan 24, 2019",476.85,469.63,472.45,473.23,2954782,450.03
"Jan 25, 2019",487.85,473.05,474.5,484.7,4310008,460.94
"Jan 28, 2019",490.0,481.95,486.5,488.9,3029930,464.93
"Jan 29, 2019",497.42,480.55,489.0,494.23,4733138,470.0
"Jan 30, 2019",517.5,500.75,509.0,509.2,14053348,484.24
"Jan 31, 2019",511.58,493.38,509.8,502.6,9058428,477.96
"Feb 01, 2019",525.0,505.25,505.3,521.92,6460222,496.34
"Feb 04, 2019",528.9,520.15,522.5,522.4,4133944,496.79
"Feb 05, 2019",527.5,520.75,523.25,523.88,2368564,499.15
"Feb 06, 2019",532.47,522.55,525.5,527.6,2331000,502.7
"Feb 07, 2019",538.9,528.0,528.0,531.45,3251088,506.37
"Feb 08, 2019",538.0,529.03,530.0,534.22,3733802,509.01
"Feb 11, 2019",542.0,531.5,534.05,539.67,3157886,514.2
"Feb 12, 2019",539.2,526.38,538.0,529.4,2788882,504.41
"Feb 14, 2019",535.0,528.53,535.0,530.65,1970720,505.61
"Feb 15, 2019",533.67,520.75,533.1,528.63,2492120,503.68
"Feb 18, 2019",536.0,516.25,530.4,523.15,2550698,498.46
"Feb 19, 2019",525.6,518.17,524.0,519.53,1837440,495.01
"Feb 20, 2019",530.75,513.0,521.17,528.97,2558354,504.01
"Feb 21, 2019",530.75,521.3,530.0,526.7,2603154,501.84
"Feb 22, 2019",535.25,522.0,522.1,533.08,2844492,507.92
"Feb 25, 2019",542.5,531.47,535.3,541.13,2340940,515.59
"Feb 26, 2019",547.97,527.47,540.3,529.42,3726370,504.44
"Feb 27, 2019",533.0,519.0,530.0,530.17,3325110,505.15
"Feb 28, 2019",534.97,523.85,534.97,526.95,6661660,502.08
"Mar 01, 2019",530.7,521.88,527.5,526.3,2295910,501.46
"Mar 05, 2019",529.9,522.6,528.85,526.28,2117558,501.44
"Mar 06, 2019",531.0,519.3,530.3,521.63,2807252,497.01
"Mar 07, 2019",525.25,516.0,523.8,517.28,2073614,492.86
"Mar 08, 2019",514.97,503.0,514.7,504.52,3176094,480.71
"Mar 11, 2019",510.88,500.5,503.5,502.2,4547588,478.5
"Mar 12, 2019",509.75,500.02,503.55,506.67,4902188,482.76
"Mar 13, 2019",521.5,507.05,509.35,514.17,6803340,489.91
"Mar 14, 2019",520.28,502.05,517.5,503.38,3793832,479.62
"Mar 15, 2019",516.92,504.4,506.0,514.65,5207688,490.36
"Mar 18, 2019",519.97,505.95,516.05,506.63,1690728,482.71
"Mar 19, 2019",521.0,506.55,510.05,518.1,3242552,493.65
"Mar 20, 2019",527.25,515.75,521.0,518.97,4408802,494.48
"Mar 22, 2019",524.0,509.0,519.0,512.42,5237090,488.24
"Mar 25, 2019",514.5,505.92,514.5,508.83,3055910,484.81
