Date,High,Low,Open,Close,Volume,Adj Close
"Nov 19, 2018",9.33,9.21,9.33,9.29,6507000,8.62
"Nov 20, 2018",9.19,9.05,9.18,9.09,7108500,8.43
"Nov 21, 2018",9.1,8.95,8.99,9.07,7539300,8.41
"Nov 23, 2018",9.16,9.05,9.05,9.09,3158400,8.43
"Nov 26, 2018",9.21,9.06,9.07,9.18,6051900,8.51
"Nov 27, 2018",9.31,9.19,9.25,9.27,5458600,8.6
"Nov 28, 2018",9.89,9.56,9.63,9.86,13928900,9.14
"Nov 29, 2018",9.8,9.66,9.79,9.68,12415800,8.98
"Nov 30, 2018",9.86,9.75,9.8,9.86,10463200,9.14
"Dec 03, 2018",9.94,9.86,9.91,9.9,13191200,9.18
"Dec 04, 2018",10.05,9.83,9.94,9.85,9518900,9.13
"Dec 06, 2018",9.86,9.71,9.77,9.83,17177400,9.12
"Dec 07, 2018",9.97,9.65,9.83,9.69,11353200,8.99
"Dec 10, 2018",9.59,9.43,9.55,9.57,7731000,8.87
"Dec 11, 2018",9.77,9.62,9.65,9.69,7952700,8.99
"Dec 12, 2018",9.82,9.66,9.77,9.66,5453300,8.96
"Dec 13, 2018",9.98,9.85,9.93,9.87,7971700,9.15
"Dec 14, 2018",10.01,9.87,9.99,9.89,7799600,9.17
"Dec 17, 2018",9.83,9.54,9.82,9.6,10520400,8.9
"Dec 18, 2018",9.72,9.5,9.68,9.54,9742500,8.85
"Dec 19, 2018",9.58,9.38,9.49,9.43,8175400,8.75
"Dec 20, 2018",9.54,9.14,9.51,9.28,23548800,8.61
"Dec 21, 2018",9.31,9.1,9.21,9.1,15286200,8.44
"Dec 24, 2018",9.24,9.07,9.19,9.08,8590700,8.42
"Dec 26, 2018",9.38,9.12,9.15,9.38,9004200,8.7
"Dec 27, 2018",9.45,9.28,9.3,9.45,9856500,8.76
"Dec 28, 2018",9.5,9.38,9.48,9.43,6818500,8.75
"Dec 31, 2018",9.53,9.39,9.47,9.52,7229400,8.83
"Jan 02, 2019",9.73,9.47,9.5,9.61,9818900,8.91
"Jan 03, 2019",9.59,9.47,9.55,9.47,9404900,8.78
"Jan 04, 2019",9.72,9.5,9.52,9.63,7119000,8.93
"Jan 07, 2019",9.81,9.66,9.7,9.71,7732700,9.0
"Jan 08, 2019",9.85,9.72,9.82,9.75,9391600,9.04
"Jan 09, 2019",9.89,9.74,9.76,9.87,9634300,9.15
"Jan 10, 2019",9.89,9.7,9.78,9.88,13956500,9.16
"Jan 11, 2019",10.68,10.12,10.18,10.41,40526400,9.65
"Jan 14, 2019",10.41,10.13,10.18,10.37,34162200,9.62
"Jan 15, 2019",10.58,10.46,10.57,10.49,12153400,9.73
"Jan 16, 2019",10.64,10.55,10.57,10.61,12048400,9.84
"Jan 17, 2019",10.63,10.5,10.54,10.58,9581000,9.81
"Jan 18, 2019",10.69,10.58,10.6,10.67,10168700,9.9
"Jan 22, 2019",10.68,10.47,10.64,10.53,10437700,9.77
"Jan 23, 2019",10.56,10.43,10.56,10.53,8108100,9.77
"Jan 24, 2019",10.55,10.43,10.53,10.43,6627700,9.73
"Jan 25, 2019",10.58,10.41,10.51,10.55,8839100,9.84
"Jan 28, 2019",10.57,10.44,10.49,10.52,5192200,9.81
"Jan 29, 2019",10.53,10.42,10.49,10.48,8271100,9.77
"Jan 30, 2019",10.63,10.42,10.46,10.59,7026000,9.87
"Jan 31, 2019",10.82,10.68,10.68,10.8,10354900,10.07
"Feb 01, 2019",10.93,10.81,10.85,10.9,6651300,10.16
"Feb 04, 2019",10.88,10.79,10.83,10.87,7449000,10.14
"Feb 05, 2019",10.92,10.83,10.85,10.84,6926300,10.11
"Feb 06, 2019",10.94,10.85,10.91,10.9,5478400,10.16
"Feb 07, 2019",10.93,10.8,10.86,10.85,7116200,10.12
"Feb 08, 2019",10.89,10.81,10.83,10.86,4103300,10.13
"Feb 11, 2019",10.89,10.79,10.86,10.82,5929600,10.09
"Feb 12, 2019",10.86,10.76,10.85,10.77,6300600,10.04
"Feb 13, 2019",10.87,10.77,10.85,10.8,9532300,10.07
"Feb 14, 2019",10.76,10.62,10.65,10.76,8443400,10.03
"Feb 15, 2019",10.78,10.64,10.68,10.76,9269100,10.03
"Feb 19, 2019",10.57,10.38,10.47,10.55,13443300,9.84
"Feb 20, 2019",10.73,10.62,10.62,10.7,6693600,9.98
"Feb 21, 2019",10.62,10.49,10.6,10.55,6913200,9.84
"Feb 22, 2019",10.68,10.55,10.56,10.63,4644600,9.91
"Feb 25, 2019",10.92,10.78,10.83,10.81,7781200,10.08
"Feb 26, 2019",10.76,10.62,10.7,10.73,6343700,10.0
"Feb 27, 2019",10.73,10.57,10.61,10.7,6812900,9.98
"Feb 28, 2019",10.77,10.65,10.69,10.72,6815000,10.0
"Mar 01, 2019",10.87,10.74,10.79,10.84,8012100,10.11
"Mar 04, 2019",10.87,10.66,10.85,10.72,5650900,10.0
"Mar 05, 2019",10.8,10.65,10.72,10.77,5576000,10.04
"Mar 06, 2019",10.75,10.68,10.7,10.71,6026600,9.99
"Mar 07, 2019",10.71,10.48,10.65,10.49,8304200,9.78
"Mar 08, 2019",10.48,10.36,10.41,10.47,6145300,9.76
"Mar 11, 2019",10.57,10.46,10.48,10.55,5497300,9.84
"Mar 12, 2019",10.55,10.46,10.53,10.52,9129600,9.81
"Mar 13, 2019",10.6,10.48,10.53,10.55,10809900,9.84
"Mar 14, 2019",10.61,10.48,10.52,10.6,5964500,9.88
"Mar 15, 2019",10.77,10.69,10.69,10.7,7108200,9.98
"Mar 18, 2019",10.74,10.68,10.7,10.72,5828700,10.0
"Mar 19, 2019",10.91,10.79,10.8,10.9,7204100,10.16
"Mar 20, 2019",11.04,10.88,10.97,10.94,7616300,10.2
"Mar 21, 2019",11.08,10.94,10.94,11.06,5108000,10.31
"Mar 22, 2019",11.12,10.86,11.05,10.88,8525300,10.14
"Mar 25, 2019",10.88,10.77,10.86,10.82,7322400,10.09
"Mar 26, 2019",10.88,10.77,10.86,10.82,4427200,10.09
"Mar 27, 2019",10.83,10.67,10.79,10.73,5644900,10.0
"Mar 28, 2019",10.94,10.83,10.91,10.88,5429900,10.14
"Mar 29, 2019",11.03,10.92,10.93,10.93,5862300,10.19
"Apr 01, 2019",11.16,11.03,11.07,11.09,5765400,10.34
"Apr 02, 2019",11.26,11.1,11.16,11.18,7661600,10.42
"Apr 03, 2019",11.28,11.16,11.2,11.2,7516300,10.44
"Apr 04, 2019",11.15,11.0,11.09,11.07,5658700,10.32
"Apr 05, 2019",11.36,11.15,11.17,11.32,9160300,10.55
"Apr 08, 2019",11.38,11.27,11.28,11.31,4759200,10.55
"Apr 09, 2019",11.26,11.14,11.23,11.15,15865500,10.4
"Apr 10, 2019",11.17,11.04,11.12,11.08,15151400,10.33
"Apr 11, 2019",11.07,10.9,11.05,10.97,19697600,10.23
"Apr 12, 2019",10.71,10.45,10.6,10.55,27590500,9.84
"Apr 15, 2019",10.61,10.5,10.61,10.57,15949200,9.86
"Apr 16, 2019",10.57,10.36,10.56,10.37,21431800,9.67
"Apr 17, 2019",10.46,10.37,10.42,10.41,10317700,9.71
"Apr 18, 2019",10.49,10.34,10.45,10.39,18307000,9.69
"Apr 22, 2019",10.47,10.39,10.44,10.45,7392500,9.74
"Apr 23, 2019",10.64,10.48,10.48,10.53,13314800,9.82
"Apr 24, 2019",10.7,10.56,10.62,10.58,12134700,9.86
"Apr 25, 2019",10.57,10.4,10.57,10.52,7030200,9.81
"Apr 26, 2019",10.68,10.56,10.64,10.65,5366900,9.93
"Apr 29, 2019",10.78,10.66,10.69,10.75,6956900,10.02
"Apr 30, 2019",10.88,10.75,10.82,10.76,8432300,10.03
"May 01, 2019",10.88,10.76,10.81,10.77,9212300,10.04
"May 02, 2019",10.72,10.47,10.64,10.57,12516500,9.86
"May 03, 2019",10.56,10.07,10.56,10.33,30580400,9.63
"May 06, 2019",10.52,10.31,10.31,10.45,13121800,9.74
"May 07, 2019",10.46,10.29,10.44,10.34,13262100,9.64
"May 08, 2019",10.43,10.26,10.42,10.39,11854500,9.69
"May 09, 2019",10.36,10.19,10.34,10.2,18123600,9.51
"May 10, 2019",10.27,10.11,10.23,10.26,19016300,9.57
"May 13, 2019",10.18,10.04,10.17,10.11,13309000,9.43
"May 14, 2019",10.29,10.13,10.15,10.21,5885600,9.52
"May 15, 2019",10.39,10.19,10.23,10.39,11611400,9.69
"May 16, 2019",10.56,10.47,10.48,10.51,8502800,9.8
"May 17, 2019",10.44,10.15,10.4,10.17,12427600,9.48
"May 20, 2019",10.36,10.15,10.31,10.2,17155700,9.51
"May 21, 2019",10.21,10.12,10.2,10.18,13841200,9.49
"May 22, 2019",10.32,10.18,10.19,10.22,8639200,9.53
"May 23, 2019",10.2,10.01,10.08,10.16,6115600,9.47
"May 24, 2019",10.35,10.23,10.27,10.23,10594200,9.54
"May 28, 2019",10.45,10.3,10.4,10.3,13101000,9.6
"May 29, 2019",10.34,10.23,10.33,10.27,9885000,9.58
"May 30, 2019",10.6,10.37,10.38,10.57,9560600,9.86
"May 31, 2019",10.53,10.41,10.5,10.47,8501000,9.76
"Jun 03, 2019",10.63,10.41,10.56,10.45,16517600,9.74
"Jun 04, 2019",10.6,10.42,10.5,10.58,8956200,9.86
"Jun 05, 2019",10.57,10.43,10.56,10.44,7705300,9.73
"Jun 06, 2019",10.58,10.46,10.46,10.53,5068500,9.82
"Jun 07, 2019",10.68,10.52,10.52,10.63,4587400,9.91
"Jun 10, 2019",10.81,10.73,10.76,10.78,6059100,10.05
"Jun 11, 2019",10.85,10.72,10.84,10.84,6582600,10.11
"Jun 12, 2019",10.9,10.77,10.82,10.8,7234800,10.07
"Jun 13, 2019",10.7,10.54,10.63,10.62,11253600,10.04
"Jun 14, 2019",10.67,10.57,10.59,10.6,4910900,10.02
"Jun 17, 2019",10.65,10.47,10.52,10.6,5351000,10.02
"Jun 18, 2019",10.83,10.74,10.79,10.75,9545700,10.16
"Jun 19, 2019",10.8,10.59,10.78,10.6,17172400,10.02
"Jun 20, 2019",10.8,10.68,10.79,10.77,14996300,10.18
"Jun 21, 2019",10.79,10.68,10.72,10.72,8959000,10.14
"Jun 24, 2019",10.77,10.65,10.72,10.68,6824800,10.1
"Jun 25, 2019",10.7,10.61,10.7,10.65,8018600,10.07
"Jun 26, 2019",10.68,10.6,10.66,10.66,4425400,10.08
"Jun 27, 2019",10.67,10.52,10.59,10.62,7636900,10.04
"Jun 28, 2019",10.71,10.63,10.64,10.7,6315300,10.12
"Jul 01, 2019",10.7,10.62,10.7,10.7,8891900,10.12
"Jul 02, 2019",10.79,10.72,10.73,10.76,7007200,10.17
"Jul 03, 2019",10.77,10.67,10.69,10.74,6879500,10.16
"Jul 05, 2019",10.7,10.54,10.57,10.69,18833300,10.11
"Jul 08, 2019",10.62,10.55,10.6,10.56,13564300,9.98
"Jul 09, 2019",10.55,10.37,10.54,10.42,23515700,9.85
"Jul 10, 2019",10.61,10.44,10.55,10.48,14954300,9.91
"Jul 11, 2019",10.72,10.53,10.57,10.72,15798500,10.14
"Jul 12, 2019",11.56,11.27,11.34,11.4,41385700,10.78
"Jul 15, 2019",11.63,11.44,11.5,11.5,13349700,10.87
"Jul 16, 2019",11.59,11.49,11.53,11.53,8621500,10.9
"Jul 17, 2019",11.64,11.48,11.6,11.49,9347900,10.86
"Jul 18, 2019",11.59,11.49,11.5,11.55,9554000,10.92
"Jul 19, 2019",11.54,11.38,11.51,11.39,10326900,10.77
"Jul 22, 2019",11.52,11.44,11.45,11.46,6380400,10.84
"Jul 23, 2019",11.54,11.44,11.48,11.49,6815600,10.86
"Jul 24, 2019",11.56,11.45,11.49,11.46,9101500,10.84
"Jul 25, 2019",11.55,11.48,11.52,11.52,7030300,10.89
"Jul 26, 2019",11.56,11.46,11.53,11.48,4230100,10.85
"Jul 29, 2019",11.55,11.47,11.55,11.51,6082600,10.88
"Jul 30, 2019",11.49,11.39,11.47,11.42,5375600,10.8
"Jul 31, 2019",11.52,11.19,11.49,11.32,20376600,10.7
"Aug 01, 2019",11.39,11.2,11.21,11.26,9424600,10.65
"Aug 02, 2019",11.21,11.05,11.19,11.08,10132700,10.48
"Aug 05, 2019",11.03,10.84,10.99,10.9,7132500,10.31
"Aug 06, 2019",11.04,10.91,11.01,11.0,15365300,10.4
"Aug 07, 2019",11.16,10.88,10.95,11.16,14179700,10.55
"Aug 08, 2019",11.35,11.2,11.25,11.25,11876300,10.64
"Aug 09, 2019",11.26,11.08,11.25,11.13,6107900,10.52
"Aug 12, 2019",11.13,11.04,11.06,11.1,4599900,10.5
"Aug 13, 2019",11.1,10.78,10.85,11.06,12558600,10.46
"Aug 14, 2019",10.97,10.79,10.96,10.79,8238800,10.2
"Aug 15, 2019",11.05,10.77,10.87,10.93,14914000,10.33
"Aug 16, 2019",11.09,10.91,10.92,11.07,9420600,10.47
"Aug 19, 2019",11.18,11.06,11.06,11.13,11201500,10.52
"Aug 20, 2019",11.39,11.19,11.24,11.33,13538500,10.71
"Aug 21, 2019",11.45,11.28,11.4,11.3,7062900,10.68
"Aug 22, 2019",11.33,11.19,11.28,11.21,6352600,10.6
"Aug 23, 2019",11.32,11.1,11.26,11.11,8412800,10.51
"Aug 26, 2019",11.23,11.1,11.21,11.13,6104400,10.52
"Aug 27, 2019",11.16,11.08,11.1,11.15,6968800,10.54
"Aug 28, 2019",11.26,11.13,11.19,11.2,5520600,10.59
"Aug 29, 2019",11.48,11.28,11.28,11.39,10932700,10.77
"Aug 30, 2019",11.5,11.37,11.48,11.49,7067000,10.86
"Sep 03, 2019",11.41,11.22,11.39,11.28,9252700,10.67
"Sep 04, 2019",11.68,11.41,11.43,11.68,18432500,11.04
"Sep 05, 2019",12.08,11.76,11.79,12.07,25060600,11.41
"Sep 06, 2019",12.04,11.81,12.02,11.81,10360200,11.17
"Sep 09, 2019",11.77,11.59,11.77,11.64,6583300,11.01
"Sep 10, 2019",11.64,11.49,11.56,11.62,9401500,10.99
"Sep 11, 2019",11.66,11.56,11.65,11.58,9023800,10.95
"Sep 12, 2019",11.71,11.59,11.65,11.68,7979500,11.04
"Sep 13, 2019",11.87,11.71,11.78,11.77,9378200,11.13
"Sep 16, 2019",11.76,11.56,11.59,11.76,8333600,11.12
"Sep 17, 2019",11.76,11.66,11.68,11.67,8195500,11.03
"Sep 18, 2019",11.76,11.58,11.72,11.7,8528000,11.06
"Sep 19, 2019",11.68,11.58,11.66,11.6,8105000,10.97
"Sep 20, 2019",11.6,11.35,11.51,11.35,14943600,10.73
"Sep 23, 2019",11.07,10.81,10.98,11.0,18658500,10.4
"Sep 24, 2019",11.26,11.01,11.25,11.04,14108100,10.44
"Sep 25, 2019",11.15,11.03,11.13,11.06,17286800,10.46
"Sep 26, 2019",11.17,11.0,11.07,11.13,9697400,10.52
"Sep 27, 2019",11.22,11.06,11.16,11.21,10509800,10.6
"Sep 30, 2019",11.42,11.31,11.33,11.37,12125900,10.75
"Oct 01, 2019",11.25,11.01,11.21,11.04,10800900,10.44
"Oct 02, 2019",11.12,10.94,10.97,11.08,8582600,10.48
"Oct 03, 2019",11.21,11.06,11.06,11.16,7168100,10.55
"Oct 04, 2019",11.26,11.14,11.21,11.22,7018000,10.61
"Oct 07, 2019",11.31,11.1,11.16,11.29,8589300,10.68
"Oct 08, 2019",11.25,11.11,11.21,11.12,9263600,10.51
"Oct 09, 2019",11.24,11.08,11.09,11.16,8826400,10.55
"Oct 10, 2019",11.21,10.94,11.04,11.18,13331900,10.57
"Oct 11, 2019",11.31,10.96,11.29,10.97,31213600,10.37
"Oct 14, 2019",10.95,10.55,10.93,10.62,36090800,10.04
"Oct 15, 2019",10.77,10.51,10.66,10.67,41270700,10.09
"Oct 16, 2019",10.76,10.56,10.68,10.6,29060900,10.02
"Oct 17, 2019",10.73,10.49,10.62,10.59,37682300,10.01
"Oct 18, 2019",10.69,10.57,10.64,10.57,22623800,9.99
"Oct 21, 2019",9.43,8.93,8.94,9.29,77165400,8.78
"Oct 22, 2019",9.08,8.9,9.05,9.01,48623900,8.62
"Oct 23, 2019",9.2,8.95,9.1,9.04,25956700,8.65
"Oct 24, 2019",8.99,8.76,8.92,8.93,28788000,8.55
"Oct 25, 2019",9.25,8.91,8.93,9.2,23665400,8.81
"Oct 28, 2019",9.3,9.15,9.19,9.16,11893500,8.77
"Oct 29, 2019",9.39,9.16,9.22,9.31,24147000,8.91
"Oct 30, 2019",9.44,9.31,9.39,9.32,14840500,8.92
"Oct 31, 2019",9.73,9.54,9.62,9.59,30212200,9.18
"Nov 01, 2019",9.69,9.5,9.62,9.52,10537300,9.11
"Nov 04, 2019",10.09,9.76,9.83,9.76,21739400,9.34
"Nov 05, 2019",9.82,9.66,9.74,9.72,11662500,9.3
"Nov 06, 2019",9.9,9.82,9.88,9.88,12466800,9.46
"Nov 07, 2019",10.12,9.98,10.06,10.02,12326100,9.59
"Nov 08, 2019",9.97,9.66,9.96,9.68,32583800,9.27
"Nov 11, 2019",9.87,9.7,9.75,9.79,16820700,9.37
"Nov 12, 2019",9.76,9.69,9.73,9.75,9914300,9.33
"Nov 13, 2019",9.72,9.59,9.6,9.71,9327100,9.29
"Nov 14, 2019",9.89,9.76,9.79,9.87,6339100,9.45
"Nov 15, 2019",9.92,9.82,9.87,9.86,9996700,9.44
"Nov 18, 2019",9.87,9.78,9.86,9.86,10115400,9.44
"Nov 19, 2019",9.94,9.81,9.93,9.83,13020000,9.41
"Nov 20, 2019",9.98,9.8,9.8,9.92,8461600,9.5
"Nov 21, 2019",9.93,9.82,9.9,9.87,4301600,9.45
"Nov 22, 2019",9.76,9.58,9.65,9.6,23598600,9.19
"Nov 25, 2019",9.88,9.65,9.71,9.87,16600800,9.45
"Nov 26, 2019",9.79,9.65,9.69,9.65,20127900,9.24
"Nov 27, 2019",9.79,9.65,9.68,9.78,8987600,9.36
"Nov 29, 2019",9.84,9.73,9.73,9.83,4669500,9.41
"Dec 02, 2019",9.73,9.65,9.72,9.69,9664000,9.28
"Dec 03, 2019",9.74,9.65,9.72,9.67,4134300,9.26
"Dec 04, 2019",9.91,9.78,9.86,9.86,8169800,9.44
"Dec 05, 2019",9.94,9.85,9.93,9.89,6628000,9.47
"Dec 06, 2019",9.98,9.93,9.94,9.94,3731800,9.51
"Dec 09, 2019",10.06,9.93,9.98,9.94,6421400,9.51
"Dec 10, 2019",10.06,9.92,9.96,10.04,12796700,9.61
"Dec 11, 2019",10.1,10.02,10.08,10.07,14914900,9.64
"Dec 12, 2019",10.04,9.9,9.91,10.03,9539700,9.6
"Dec 13, 2019",10.14,10.04,10.05,10.08,8067400,9.65
"Dec 16, 2019",10.14,10.07,10.08,10.13,7558000,9.7
"Dec 17, 2019",10.32,10.18,10.27,10.29,15342000,9.85
"Dec 18, 2019",10.37,10.29,10.34,10.33,10213900,9.89
"Dec 19, 2019",10.3,10.16,10.29,10.27,7302800,9.83
"Dec 20, 2019",10.33,10.24,10.25,10.29,6327100,9.85
"Dec 23, 2019",10.31,10.24,10.29,10.29,3500900,9.85
"Dec 24, 2019",10.28,10.21,10.28,10.24,1730800,9.8
"Dec 26, 2019",10.28,10.16,10.25,10.17,5815700,9.73
"Dec 27, 2019",10.34,10.24,10.25,10.26,8082900,9.82
"Dec 30, 2019",10.27,10.12,10.26,10.16,6427000,9.73
"Dec 31, 2019",10.32,10.16,10.16,10.32,5474500,9.88
"Jan 02, 2020",10.34,10.23,10.3,10.29,5688000,9.85
"Jan 03, 2020",10.35,10.26,10.29,10.31,6992200,9.87
"Jan 06, 2020",10.25,10.17,10.22,10.21,10068900,9.77
"Jan 07, 2020",10.17,10.1,10.12,10.1,10589100,9.67
"Jan 08, 2020",10.12,9.99,10.0,10.09,13440400,9.66
"Jan 09, 2020",10.51,10.15,10.21,10.48,28436900,10.03
"Jan 10, 2020",11.15,10.62,11.1,10.65,30794600,10.19
"Jan 13, 2020",10.98,10.8,10.95,10.88,13659600,10.41
"Jan 14, 2020",10.9,10.77,10.87,10.86,15188300,10.4
"Jan 15, 2020",10.93,10.73,10.83,10.85,11884300,10.39
"Jan 16, 2020",10.94,10.81,10.84,10.85,8511200,10.39
"Jan 17, 2020",10.92,10.72,10.84,10.88,6604300,10.41
"Jan 21, 2020",10.91,10.77,10.77,10.85,15790000,10.39
"Jan 22, 2020",11.07,10.92,10.94,11.04,22364600,10.57
"Jan 23, 2020",11.12,10.88,11.09,11.06,27833700,10.59
"Jan 24, 2020",11.12,10.94,11.07,11.03,21191300,10.56
