Date,High,Low,Open,Close,Volume,Adj Close
"Nov 19, 2018",106.75,104.45,106.5,105.6,571173,100.28
"Nov 20, 2018",105.6,102.75,105.0,103.45,501109,98.24
"Nov 21, 2018",106.2,102.35,104.55,103.2,1497245,98.0
"Nov 22, 2018",105.2,102.35,104.9,102.75,585254,97.58
"Nov 26, 2018",104.7,101.6,104.7,102.25,606514,97.1
"Nov 27, 2018",101.95,98.8,101.95,99.25,1440343,94.25
"Nov 28, 2018",101.45,98.05,99.75,98.45,874530,93.49
"Nov 29, 2018",100.0,98.3,99.4,98.9,580085,93.92
"Nov 30, 2018",102.2,98.05,100.8,98.65,1379126,93.68
"Dec 03, 2018",99.7,98.15,99.7,98.45,652352,93.49
"Dec 04, 2018",99.5,97.5,98.4,97.9,387232,92.97
"Dec 05, 2018",97.2,94.8,96.9,95.2,826703,90.41
"Dec 06, 2018",94.35,92.3,94.0,92.55,535969,87.89
"Dec 07, 2018",93.1,90.1,93.0,90.35,659756,85.8
"Dec 10, 2018",89.8,86.55,89.8,88.15,412879,83.71
"Dec 11, 2018",91.9,86.35,87.9,90.75,769072,86.18
"Dec 12, 2018",92.9,90.6,92.4,92.3,868351,87.65
"Dec 13, 2018",96.15,92.6,92.95,95.5,964174,90.69
"Dec 14, 2018",96.5,94.35,95.4,95.6,492309,90.79
"Dec 17, 2018",96.3,95.25,96.2,95.9,393296,91.07
"Dec 18, 2018",98.25,95.15,95.15,97.95,783674,93.02
"Dec 19, 2018",104.5,98.7,99.0,103.05,1371430,97.86
"Dec 20, 2018",110.85,105.55,105.55,109.15,4630478,103.65
"Dec 21, 2018",109.5,105.5,109.4,106.7,1171537,101.33
"Dec 24, 2018",104.4,100.35,103.4,102.4,1109883,97.24
"Dec 26, 2018",104.85,102.1,104.4,104.0,1389579,98.76
"Dec 27, 2018",104.8,103.05,104.1,103.75,550287,98.53
"Dec 28, 2018",106.0,103.5,104.0,104.35,759716,99.1
"Dec 31, 2018",105.2,103.25,104.5,103.7,332241,98.48
"Jan 01, 2019",104.5,102.15,103.95,103.8,371151,98.57
"Jan 02, 2019",104.95,102.75,103.8,104.4,634144,99.14
"Jan 03, 2019",104.9,103.25,104.8,103.9,472830,98.67
"Jan 04, 2019",104.9,102.3,104.3,103.35,400666,98.15
"Jan 07, 2019",106.35,103.45,103.5,104.0,573913,98.76
"Jan 08, 2019",104.65,102.7,104.5,103.3,216865,98.1
"Jan 09, 2019",104.2,101.55,103.05,101.9,241432,96.77
"Jan 10, 2019",102.5,101.15,102.5,101.7,249254,96.58
"Jan 11, 2019",101.75,100.25,101.75,101.0,268730,95.91
"Jan 14, 2019",101.4,99.35,101.4,99.9,295004,94.87
"Jan 15, 2019",101.1,99.65,100.2,100.7,222125,95.63
"Jan 16, 2019",104.0,100.0,101.0,101.5,437302,96.39
"Jan 17, 2019",102.3,100.25,101.5,101.1,197958,96.01
"Jan 18, 2019",101.75,99.4,101.4,100.0,243040,94.96
"Jan 21, 2019",100.0,98.7,100.0,99.15,205534,94.16
"Jan 22, 2019",99.5,97.0,99.5,98.15,222466,93.21
"Jan 23, 2019",99.0,96.6,99.0,97.0,223387,92.12
"Jan 24, 2019",97.05,94.75,96.8,95.5,228938,90.69
"Jan 25, 2019",98.9,95.1,96.25,95.9,330621,91.07
"Jan 28, 2019",95.6,91.5,95.0,94.05,350659,89.31
"Jan 29, 2019",94.0,92.0,92.05,92.9,297837,88.22
"Jan 30, 2019",94.4,91.05,93.2,92.15,305849,87.51
"Jan 31, 2019",92.9,90.0,92.8,90.8,484082,86.23
"Feb 01, 2019",93.9,91.0,91.5,92.1,375714,87.46
"Feb 04, 2019",92.4,89.1,92.4,90.55,367359,85.99
"Feb 05, 2019",90.8,88.5,90.0,88.85,459880,84.38
"Feb 06, 2019",90.7,87.0,89.1,89.55,315855,85.04
"Feb 07, 2019",92.7,89.0,89.5,91.6,358375,86.99
"Feb 08, 2019",91.2,89.1,91.2,89.95,245430,85.42
"Feb 11, 2019",90.2,87.7,90.2,88.65,186998,84.19
"Feb 12, 2019",89.95,87.65,89.0,88.05,364738,83.62
"Feb 14, 2019",88.4,85.5,86.5,87.85,348171,83.43
"Feb 15, 2019",91.45,87.45,90.9,88.45,2125638,84.0
"Feb 18, 2019",88.85,86.0,88.55,86.25,434588,81.91
"Feb 19, 2019",87.4,84.7,87.4,84.95,825933,80.67
"Feb 20, 2019",86.7,84.6,85.3,85.75,832105,81.43
"Feb 21, 2019",86.45,85.4,86.3,85.9,289142,81.57
"Feb 22, 2019",88.35,86.0,86.1,87.6,634034,83.19
"Feb 25, 2019",89.6,87.5,88.2,88.4,615399,83.95
"Feb 26, 2019",87.0,84.8,86.5,85.8,741718,81.48
"Feb 27, 2019",87.8,84.1,86.4,85.4,699675,81.1
"Feb 28, 2019",86.8,85.6,85.9,85.85,350320,81.53
"Mar 01, 2019",87.4,86.25,86.75,86.95,566758,82.57
"Mar 05, 2019",93.35,87.1,87.25,92.45,4517733,87.79
"Mar 06, 2019",95.2,90.9,93.0,93.4,2875229,88.7
"Mar 07, 2019",93.85,92.05,93.5,92.25,1222193,87.6
"Mar 08, 2019",92.1,90.8,91.9,91.6,831019,86.99
"Mar 11, 2019",93.2,91.6,92.0,92.45,1362280,87.79
"Mar 12, 2019",97.65,92.6,93.1,96.35,3659075,91.5
"Mar 13, 2019",99.65,95.55,98.75,96.15,5410320,91.31
"Mar 14, 2019",96.5,94.6,96.4,94.8,983398,90.03
"Mar 15, 2019",95.9,91.8,95.35,92.55,1552990,87.89
"Mar 18, 2019",94.0,91.65,93.0,92.7,994643,88.03
"Mar 19, 2019",94.0,91.7,93.0,93.05,1061431,88.36
"Mar 20, 2019",93.45,92.15,92.9,92.3,611144,87.65
"Mar 22, 2019",93.4,91.7,92.9,92.05,943874,87.42
"Mar 25, 2019",91.1,89.6,91.0,89.9,607900,85.37
"Mar 26, 2019",91.0,89.2,89.2,90.3,793761,85.75
"Mar 27, 2019",91.0,89.25,90.5,89.75,1100581,85.23
"Mar 28, 2019",90.5,89.5,90.5,90.15,481087,85.61
"Apr 01, 2019",96.2,92.1,92.45,94.7,1706968,89.93
"Apr 02, 2019",96.0,93.5,95.35,94.2,1445853,89.46
"Apr 03, 2019",94.4,92.0,94.15,92.4,757839,87.75
"Apr 04, 2019",94.6,92.15,92.75,92.95,1381162,88.27
"Apr 05, 2019",93.9,92.5,93.65,92.9,521373,88.22
"Apr 08, 2019",93.25,92.0,93.0,92.5,450891,87.84
"Apr 09, 2019",92.0,90.35,90.35,91.6,486586,86.99
"Apr 10, 2019",92.85,91.2,91.8,92.0,395051,87.37
"Apr 11, 2019",92.45,91.3,92.0,91.85,326366,87.23
"Apr 12, 2019",92.9,91.7,92.0,92.5,387089,87.84
"Apr 15, 2019",94.4,92.25,92.9,93.55,486140,88.84
"Apr 16, 2019",94.0,92.5,93.9,92.75,385165,88.08
"Apr 18, 2019",93.35,91.4,93.1,91.65,417827,87.04
"Apr 22, 2019",91.4,89.8,91.4,90.0,330812,85.47
"Apr 23, 2019",90.55,89.55,90.2,89.9,225665,85.37
"Apr 24, 2019",90.6,89.6,90.05,90.05,211653,85.52
"Apr 25, 2019",90.8,89.55,89.9,89.75,237068,85.23
