Date,High,Low,Open,Close,Volume,Adj Close
"Nov 19, 2018",1660.0,1630.55,1636.0,1640.25,56511,1574.96
"Nov 20, 2018",1640.2,1565.0,1640.2,1585.85,283051,1522.73
"Nov 21, 2018",1579.9,1490.0,1579.9,1522.55,566036,1461.95
"Nov 22, 2018",1566.8,1517.65,1533.0,1542.2,253584,1480.81
"Nov 26, 2018",1582.0,1512.5,1540.0,1572.2,145332,1509.62
"Nov 27, 2018",1598.8,1555.0,1562.0,1588.0,209113,1524.79
"Nov 28, 2018",1648.0,1595.0,1595.0,1632.0,165613,1567.04
"Nov 29, 2018",1646.95,1582.0,1640.0,1590.35,108686,1527.05
"Nov 30, 2018",1602.9,1551.0,1602.9,1569.75,357328,1507.27
"Dec 03, 2018",1589.9,1556.2,1578.0,1573.3,164966,1510.68
"Dec 04, 2018",1583.0,1560.6,1573.2,1575.5,367804,1512.79
"Dec 05, 2018",1575.0,1540.0,1575.0,1546.0,187796,1484.46
"Dec 06, 2018",1545.5,1491.7,1544.0,1510.35,302717,1450.23
"Dec 07, 2018",1537.0,1451.35,1509.0,1495.3,643462,1435.78
"Dec 10, 2018",1485.0,1436.7,1476.5,1476.25,497054,1417.49
"Dec 11, 2018",1540.0,1450.3,1460.0,1526.55,337682,1465.79
"Dec 12, 2018",1632.0,1532.05,1532.05,1623.6,253167,1558.97
"Dec 13, 2018",1760.0,1626.05,1640.0,1748.5,515145,1678.9
"Dec 14, 2018",1819.95,1707.15,1759.0,1809.9,399879,1737.86
"Dec 17, 2018",1826.65,1727.05,1818.8,1740.4,264311,1671.12
"Dec 18, 2018",1738.0,1691.0,1734.0,1697.95,155324,1630.36
"Dec 19, 2018",1715.0,1677.1,1690.0,1690.7,114591,1623.4
"Dec 20, 2018",1724.8,1686.1,1691.2,1710.25,363327,1642.17
"Dec 21, 2018",1719.75,1675.0,1705.25,1675.55,102878,1608.86
"Dec 24, 2018",1707.35,1670.55,1682.25,1695.0,142308,1627.53
"Dec 26, 2018",1705.0,1672.55,1702.0,1677.8,54284,1611.02
"Dec 27, 2018",1707.0,1666.5,1686.05,1678.9,50775,1612.07
"Dec 28, 2018",1740.0,1685.55,1687.3,1731.0,179804,1662.1
"Dec 31, 2018",1749.0,1713.9,1743.95,1731.2,79325,1662.29
"Jan 01, 2019",1733.8,1705.1,1731.2,1713.45,36404,1645.25
"Jan 02, 2019",1753.9,1705.0,1722.9,1733.55,131933,1664.55
"Jan 03, 2019",1760.0,1731.0,1733.55,1738.15,188170,1668.96
"Jan 04, 2019",1754.0,1674.95,1744.0,1693.2,180512,1625.8
"Jan 07, 2019",1718.95,1699.35,1708.9,1709.7,102330,1641.65
"Jan 08, 2019",1716.0,1684.0,1713.0,1688.2,110580,1621.0
"Jan 09, 2019",1774.0,1690.0,1696.1,1755.65,250572,1685.77
"Jan 10, 2019",1822.0,1758.6,1777.0,1789.9,301057,1718.65
"Jan 11, 2019",1798.9,1712.85,1785.0,1731.2,138640,1662.29
"Jan 14, 2019",1757.0,1711.65,1731.05,1729.2,106114,1660.37
"Jan 15, 2019",1745.0,1706.15,1739.8,1731.75,104396,1662.82
"Jan 16, 2019",1774.0,1735.0,1741.0,1768.95,88045,1698.54
"Jan 17, 2019",1800.0,1768.0,1779.9,1780.8,127885,1709.92
"Jan 18, 2019",1819.0,1755.0,1787.7,1807.25,333207,1735.31
"Jan 21, 2019",1805.0,1768.0,1805.0,1779.8,301619,1708.96
"Jan 22, 2019",1800.0,1762.3,1778.0,1777.8,121217,1707.04
"Jan 23, 2019",1800.0,1739.15,1792.0,1756.95,248782,1687.02
"Jan 24, 2019",1773.4,1740.0,1763.8,1747.0,65547,1677.46
"Jan 25, 2019",1762.0,1710.0,1745.0,1713.45,86229,1645.25
"Jan 28, 2019",1747.45,1681.0,1713.0,1702.7,114823,1634.92
"Jan 29, 2019",1735.0,1700.0,1720.0,1710.8,51435,1642.7
"Jan 30, 2019",1739.8,1691.7,1710.0,1731.85,136202,1662.91
"Jan 31, 2019",1770.0,1719.25,1730.0,1760.85,177926,1690.76
"Feb 01, 2019",1785.0,1752.6,1770.0,1768.75,71991,1698.35
"Feb 04, 2019",1765.7,1741.5,1757.9,1754.7,50440,1684.86
"Feb 05, 2019",1870.0,1750.0,1750.0,1814.8,423680,1742.56
"Feb 06, 2019",1856.25,1818.05,1821.9,1849.05,168603,1775.45
"Feb 07, 2019",1896.7,1850.5,1870.0,1871.15,200619,1796.67
"Feb 08, 2019",1872.9,1826.65,1865.75,1840.65,106659,1767.38
"Feb 11, 2019",1844.0,1781.05,1844.0,1795.1,191046,1723.65
"Feb 12, 2019",1835.0,1770.05,1797.0,1788.05,101126,1716.88
"Feb 14, 2019",1788.95,1763.25,1788.95,1769.15,32711,1698.73
"Feb 15, 2019",1795.0,1725.25,1770.0,1781.05,100275,1710.16
"Feb 18, 2019",1775.0,1740.05,1775.0,1748.0,74466,1678.42
"Feb 19, 2019",1755.0,1725.15,1742.25,1738.2,53503,1669.01
"Feb 20, 2019",1768.9,1629.0,1732.7,1735.5,142437,1666.42
"Feb 21, 2019",1748.2,1720.0,1729.95,1725.55,57733,1656.87
"Feb 22, 2019",1737.45,1711.3,1732.8,1715.15,50313,1646.88
"Feb 25, 2019",1732.75,1696.0,1716.0,1704.35,82916,1636.51
"Feb 26, 2019",1719.95,1680.5,1695.0,1699.4,52708,1631.76
"Feb 27, 2019",1736.25,1692.05,1714.85,1725.85,109195,1657.15
