Date,High,Low,Open,Close,Volume,Adj Close
"Nov 19, 2018",853.0,839.15,846.0,848.7,610680,779.89
"Nov 20, 2018",854.2,835.0,848.7,836.5,1043524,768.68
"Nov 21, 2018",838.05,805.1,838.0,830.4,1895611,763.08
"Nov 22, 2018",854.7,823.0,830.4,828.85,1466895,761.65
"Nov 26, 2018",843.0,819.0,830.0,837.1,933348,769.23
"Nov 27, 2018",848.0,820.0,842.0,824.1,1220238,757.29
"Nov 28, 2018",881.1,822.35,827.0,874.75,2305804,803.83
"Nov 29, 2018",877.95,845.2,876.0,850.1,2045062,781.18
"Nov 30, 2018",884.0,848.0,855.0,876.65,1519665,805.58
"Dec 03, 2018",897.55,865.0,883.9,893.45,1287294,821.01
"Dec 04, 2018",899.8,880.85,894.5,885.35,1157865,813.57
"Dec 05, 2018",883.9,864.6,882.0,871.15,701305,800.52
"Dec 06, 2018",911.95,843.0,869.0,861.3,4125356,791.47
"Dec 07, 2018",875.0,845.05,862.0,867.65,1096535,797.31
"Dec 10, 2018",872.25,843.9,856.0,858.1,821259,788.53
"Dec 11, 2018",874.65,842.2,842.2,861.75,748458,791.88
"Dec 12, 2018",895.5,861.25,862.0,880.65,1066840,809.25
"Dec 13, 2018",889.15,852.35,882.0,858.8,1043497,789.17
"Dec 14, 2018",873.3,850.0,860.0,867.9,956017,797.54
"Dec 17, 2018",874.0,856.6,870.0,870.05,497718,799.51
"Dec 18, 2018",867.05,841.6,860.0,846.6,1634661,777.96
"Dec 19, 2018",861.6,827.3,850.0,850.1,1987778,781.18
"Dec 20, 2018",859.3,841.35,849.0,850.05,996549,781.13
"Dec 21, 2018",866.2,840.1,850.35,845.6,1601801,777.04
"Dec 24, 2018",856.9,834.15,848.8,837.7,690775,769.78
"Dec 26, 2018",859.85,818.0,839.0,854.05,1128860,784.81
"Dec 27, 2018",872.9,853.0,859.35,861.85,1251109,791.98
"Dec 28, 2018",869.0,858.05,863.0,864.1,420544,794.04
"Dec 31, 2018",871.7,861.55,870.0,864.5,317152,794.41
"Jan 01, 2019",867.1,853.4,864.0,863.4,399996,793.4
"Jan 02, 2019",878.0,857.2,858.0,860.5,892157,790.74
"Jan 03, 2019",865.0,824.35,861.15,834.8,908897,767.12
"Jan 04, 2019",841.0,792.25,832.1,815.0,3507785,748.92
"Jan 07, 2019",839.7,816.3,819.0,835.35,1238344,767.62
"Jan 08, 2019",837.05,819.2,836.0,821.2,943753,754.62
"Jan 09, 2019",839.0,820.1,825.0,823.45,1108871,756.69
"Jan 10, 2019",827.0,810.0,823.5,812.25,1017956,746.4
"Jan 11, 2019",836.0,794.4,810.0,832.0,2625463,764.55
"Jan 14, 2019",857.85,830.0,838.0,853.15,2309396,783.98
"Jan 15, 2019",863.0,842.8,847.3,854.5,1598604,785.22
"Jan 16, 2019",863.0,835.0,855.0,841.2,2437761,773.0
"Jan 17, 2019",873.3,821.7,843.95,867.85,10222282,797.49
"Jan 18, 2019",892.2,853.95,868.0,887.0,4875592,815.09
"Jan 21, 2019",911.7,874.35,895.0,881.75,4642387,810.26
"Jan 22, 2019",934.0,879.4,883.0,921.1,3934018,846.42
"Jan 23, 2019",942.9,902.0,930.0,906.55,6485855,835.77
"Jan 24, 2019",923.35,906.5,913.8,910.4,2027003,839.32
"Jan 25, 2019",925.0,880.8,916.05,886.1,2686280,816.92
"Jan 28, 2019",884.25,856.05,872.0,868.6,2225129,800.79
"Jan 29, 2019",911.0,866.0,870.0,903.6,1990949,833.05
"Jan 30, 2019",919.0,885.1,909.2,890.45,1661063,820.93
"Jan 31, 2019",902.0,880.0,900.0,894.05,1211981,824.25
"Feb 01, 2019",904.0,885.2,894.05,899.65,803302,829.41
"Feb 04, 2019",906.0,875.05,904.05,889.8,1004135,820.33
"Feb 05, 2019",899.9,880.0,887.0,887.9,636345,818.58
"Feb 06, 2019",909.75,889.8,889.95,897.3,1574950,827.25
"Feb 07, 2019",906.6,890.0,894.4,899.3,894663,829.09
"Feb 08, 2019",911.0,887.0,893.6,891.55,1367888,821.95
"Feb 11, 2019",922.0,891.1,891.1,918.05,2245228,846.38
"Feb 12, 2019",928.3,894.0,920.4,900.3,2255202,830.01
"Feb 14, 2019",906.05,888.75,897.95,897.0,1021400,826.97
"Feb 15, 2019",903.9,889.1,899.0,895.5,786612,825.59
"Feb 18, 2019",899.9,864.4,893.0,868.6,980226,800.79
"Feb 19, 2019",893.5,859.0,868.0,887.3,2044293,818.03
"Feb 20, 2019",907.0,879.0,888.0,903.95,1332001,833.38
"Feb 21, 2019",906.95,888.0,906.95,898.8,1005712,828.63
"Feb 22, 2019",911.0,893.5,901.0,902.75,899553,832.27
"Feb 25, 2019",912.9,895.65,909.5,907.75,1018766,836.88
"Feb 26, 2019",916.2,889.0,899.1,907.25,1162090,836.42
"Feb 27, 2019",915.9,888.55,910.0,898.7,1037003,828.54
