Date,High,Low,Open,Close,Volume,Adj Close
"Nov 19, 2018",1392.0,1366.8,1369.0,1385.05,73702,1376.05
"Nov 20, 2018",1408.0,1370.0,1384.5,1400.3,91149,1391.2
"Nov 21, 2018",1415.0,1391.8,1391.8,1401.75,21054,1392.64
"Nov 22, 2018",1413.9,1385.15,1401.75,1393.35,38785,1384.3
"Nov 26, 2018",1477.6,1388.55,1401.8,1454.9,181541,1445.45
"Nov 27, 2018",1542.7,1457.6,1457.7,1479.55,259426,1469.94
"Nov 28, 2018",1527.0,1483.0,1488.75,1489.35,79900,1479.68
"Nov 29, 2018",1565.5,1490.25,1490.25,1548.65,130759,1538.59
"Nov 30, 2018",1585.0,1535.0,1547.7,1545.6,163640,1535.56
"Dec 03, 2018",1635.0,1554.55,1557.9,1611.2,310499,1600.73
"Dec 04, 2018",1687.9,1611.65,1616.0,1629.15,426911,1618.57
"Dec 05, 2018",1629.05,1549.95,1629.0,1579.35,127512,1569.09
"Dec 06, 2018",1612.0,1541.2,1565.0,1551.9,88028,1541.82
"Dec 07, 2018",1568.55,1500.25,1560.0,1514.95,155435,1505.11
"Dec 10, 2018",1498.0,1410.8,1498.0,1429.6,65879,1420.31
"Dec 11, 2018",1586.4,1386.0,1386.0,1549.15,220434,1539.09
"Dec 12, 2018",1585.0,1524.0,1555.0,1566.95,254862,1556.77
"Dec 13, 2018",1580.95,1535.2,1572.0,1555.9,135750,1545.79
"Dec 14, 2018",1580.0,1529.55,1538.0,1564.45,93436,1554.29
"Dec 17, 2018",1620.0,1545.75,1564.45,1593.0,374472,1582.65
"Dec 18, 2018",1677.0,1555.0,1581.0,1569.9,239990,1559.7
"Dec 19, 2018",1620.0,1540.2,1570.0,1596.4,469425,1586.03
"Dec 20, 2018",1586.75,1547.95,1574.0,1563.8,134868,1553.64
"Dec 21, 2018",1602.5,1555.6,1576.0,1576.15,117209,1565.91
"Dec 24, 2018",1586.0,1548.0,1568.0,1557.5,37836,1547.38
"Dec 26, 2018",1566.8,1501.35,1566.8,1516.8,66909,1506.95
"Dec 27, 2018",1521.05,1475.25,1519.95,1485.65,94754,1476.0
"Dec 28, 2018",1506.95,1445.15,1500.0,1454.25,114552,1444.8
"Dec 31, 2018",1469.45,1432.1,1469.45,1440.65,95188,1431.29
"Jan 01, 2019",1457.45,1427.1,1427.1,1439.0,76834,1429.65
"Jan 02, 2019",1448.4,1395.95,1444.0,1430.45,89499,1421.16
"Jan 03, 2019",1503.0,1431.0,1431.0,1490.35,280109,1480.67
"Jan 04, 2019",1579.0,1482.35,1487.0,1557.05,234395,1546.94
"Jan 07, 2019",1638.0,1553.55,1568.5,1622.0,542045,1611.46
"Jan 08, 2019",1673.7,1594.45,1632.1,1619.4,507004,1608.88
"Jan 09, 2019",1648.0,1603.0,1613.9,1628.7,114138,1618.12
"Jan 10, 2019",1719.95,1573.15,1634.9,1586.0,397172,1575.7
"Jan 11, 2019",1644.0,1583.0,1599.0,1595.55,192116,1585.19
"Jan 14, 2019",1653.65,1587.65,1604.95,1640.3,297706,1629.64
"Jan 15, 2019",1697.85,1632.05,1655.0,1679.55,361595,1668.64
"Jan 16, 2019",1736.3,1662.0,1675.0,1677.35,292846,1666.45
"Jan 17, 2019",1709.75,1615.55,1687.7,1622.85,170950,1612.31
"Jan 18, 2019",1660.0,1558.0,1635.0,1579.4,212390,1569.14
"Jan 21, 2019",1630.0,1507.0,1601.0,1544.7,223229,1534.67
"Jan 22, 2019",1649.0,1512.0,1554.35,1632.15,271657,1621.55
"Jan 23, 2019",1770.0,1633.0,1633.0,1729.05,465772,1717.82
"Jan 24, 2019",1790.0,1676.9,1739.0,1715.6,614949,1704.46
"Jan 25, 2019",1750.0,1670.55,1720.15,1691.05,206606,1680.06
"Jan 28, 2019",1701.6,1641.0,1694.0,1673.6,250359,1662.73
"Jan 29, 2019",1750.0,1651.9,1665.0,1689.3,336334,1678.33
"Jan 30, 2019",1718.0,1661.0,1699.85,1705.25,658955,1694.17
"Jan 31, 2019",1758.0,1662.0,1662.0,1747.35,227402,1736.0
"Feb 01, 2019",1783.95,1710.05,1750.0,1730.35,159969,1719.11
"Feb 04, 2019",1749.9,1721.6,1727.0,1727.75,324757,1716.53
"Feb 05, 2019",1775.15,1702.95,1730.2,1760.95,451354,1749.51
"Feb 06, 2019",1758.7,1728.05,1749.9,1738.0,83000,1726.71
"Feb 07, 2019",1780.0,1739.95,1743.0,1758.15,259682,1748.24
"Feb 08, 2019",1778.0,1748.1,1758.6,1768.15,63809,1758.18
"Feb 11, 2019",1793.0,1682.7,1760.0,1708.65,417511,1699.02
