Date,Open,High,Low,Close
"Jan 03, 2011",6177.45,6178.55,6147.2,6157.6
"Jan 04, 2011",6172.75,6181.05,6124.4,6146.35
"Jan 05, 2011",6141.35,6141.35,6062.35,6079.8
"Jan 06, 2011",6107.0,6116.15,6022.3,6048.25
"Jan 07, 2011",6030.9,6051.2,5883.6,5904.6
"Jan 10, 2011",5901.3,5907.25,5740.95,5762.85
"Jan 11, 2011",5767.95,5842.6,5698.2,5754.1
"Jan 12, 2011",5800.05,5874.2,5711.3,5863.25
"Jan 13, 2011",5850.75,5857.75,5736.7,5751.9
"Jan 14, 2011",5752.1,5833.65,5639.65,5654.55
"Jan 17, 2011",5648.8,5696.15,5624.15,5654.75
"Jan 18, 2011",5682.55,5730.5,5671.25,5724.05
"Jan 19, 2011",5737.35,5747.65,5662.55,5691.05
"Jan 20, 2011",5656.0,5729.45,5634.5,5711.6
"Jan 21, 2011",5692.05,5717.55,5674.5,5696.5
"Jan 24, 2011",5717.1,5756.0,5697.75,5743.25
"Jan 25, 2011",5763.3,5801.55,5680.65,5687.4
"Jan 27, 2011",5725.3,5726.1,5594.95,5604.3
"Jan 28, 2011",5614.0,5614.4,5459.55,5512.15
"Jan 31, 2011",5452.55,5526.85,5416.65,5505.9
"Feb 01, 2011",5537.3,5539.15,5402.0,5417.2
"Feb 02, 2011",5469.55,5490.6,5415.65,5432.0
"Feb 03, 2011",5430.45,5532.65,5418.0,5526.75
"Feb 04, 2011",5519.9,5556.3,5369.05,5395.75
"Feb 07, 2011",5430.15,5440.35,5376.95,5396.0
"Feb 08, 2011",5432.35,5432.35,5303.4,5312.55
"Feb 09, 2011",5293.05,5339.45,5225.65,5253.55
"Feb 10, 2011",5246.05,5272.6,5196.8,5225.8
"Feb 11, 2011",5219.65,5319.45,5177.7,5310.0
"Feb 14, 2011",5340.25,5463.8,5340.25,5456.0
"Feb 15, 2011",5467.75,5506.5,5408.35,5481.0
"Feb 16, 2011",5467.6,5504.8,5460.35,5481.7
"Feb 17, 2011",5501.7,5553.0,5463.4,5546.45
"Feb 18, 2011",5557.55,5599.25,5441.95,5458.95
"Feb 21, 2011",5456.6,5526.25,5413.1,5518.6
"Feb 22, 2011",5504.4,5519.45,5437.3,5469.2
"Feb 23, 2011",5452.45,5495.2,5427.55,5437.35
"Feb 24, 2011",5408.75,5423.4,5242.5,5262.7
"Feb 25, 2011",5321.05,5338.2,5232.75,5303.55
"Feb 28, 2011",5330.15,5477.0,5308.6,5333.25
"Mar 01, 2011",5382.0,5533.05,5373.55,5522.3
"Mar 03, 2011",5478.45,5570.75,5468.25,5536.2
"Mar 04, 2011",5586.2,5608.2,5524.1,5538.75
"Mar 07, 2011",5490.05,5491.25,5408.45,5463.15
"Mar 08, 2011",5466.1,5530.55,5464.75,5520.8
"Mar 09, 2011",5542.4,5563.3,5477.45,5531.0
"Mar 10, 2011",5516.1,5516.3,5468.45,5494.4
"Mar 11, 2011",5456.15,5502.7,5411.55,5445.45
"Mar 14, 2011",5436.5,5537.3,5434.25,5531.5
"Mar 15, 2011",5420.0,5497.85,5373.65,5449.65
"Mar 16, 2011",5475.95,5535.1,5475.95,5511.15
"Mar 17, 2011",5455.4,5510.05,5435.3,5446.65
"Mar 18, 2011",5475.35,5483.05,5366.4,5373.7
"Mar 21, 2011",5408.75,5413.3,5348.2,5364.75
"Mar 22, 2011",5390.85,5428.15,5376.15,5413.85
"Mar 23, 2011",5411.4,5484.95,5401.95,5480.25
"Mar 24, 2011",5501.8,5529.0,5496.1,5522.4
"Mar 25, 2011",5588.65,5667.1,5560.95,5654.25
"Mar 28, 2011",5645.25,5709.1,5643.2,5687.25
"Mar 29, 2011",5686.5,5770.35,5680.7,5736.35
"Mar 30, 2011",5755.8,5803.15,5753.9,5787.65
"Mar 31, 2011",5803.05,5872.0,5778.65,5833.75
"Apr 01, 2011",5835.0,5860.2,5810.4,5826.05
"Apr 04, 2011",5842.0,5918.7,5833.2,5908.45
"Apr 05, 2011",5923.85,5928.65,5855.85,5910.05
"Apr 06, 2011",5908.0,5944.45,5868.8,5891.75
"Apr 07, 2011",5888.55,5906.1,5866.25,5885.7
"Apr 08, 2011",5886.75,5926.95,5822.0,5842.0
"Apr 11, 2011",5805.35,5830.3,5777.9,5785.7
"Apr 13, 2011",5747.95,5923.6,5735.55,5911.5
"Apr 15, 2011",5898.75,5907.35,5806.45,5824.55
"Apr 18, 2011",5824.35,5897.9,5722.25,5729.1
"Apr 19, 2011",5716.0,5762.95,5693.25,5740.75
"Apr 20, 2011",5786.05,5857.35,5759.65,5851.65
"Apr 21, 2011",5882.85,5912.9,5864.35,5884.7
"Apr 25, 2011",5859.6,5906.6,5857.0,5874.5
"Apr 26, 2011",5876.85,5893.2,5791.55,5868.4
"Apr 27, 2011",5884.2,5892.35,5819.95,5833.9
"Apr 28, 2011",5851.35,5856.4,5776.95,5785.45
"Apr 29, 2011",5782.5,5804.3,5706.05,5749.5
"May 02, 2011",5766.9,5775.25,5687.7,5701.3
"May 03, 2011",5689.7,5710.8,5554.85,5565.25
"May 04, 2011",5567.7,5578.8,5503.0,5537.15
"May 05, 2011",5531.6,5560.3,5443.65,5459.85
"May 06, 2011",5477.65,5564.4,5472.45,5551.45
"May 09, 2011",5575.2,5586.05,5502.4,5551.1
"May 10, 2011",5555.55,5592.9,5514.55,5541.25
"May 11, 2011",5547.2,5574.7,5525.0,5565.05
"May 12, 2011",5537.8,5572.5,5476.3,5486.15
"May 13, 2011",5492.35,5605.0,5472.15,5544.75
"May 16, 2011",5541.7,5541.8,5487.65,5499.0
"May 17, 2011",5496.1,5523.85,5421.05,5438.95
"May 18, 2011",5448.2,5460.5,5401.25,5420.6
"May 19, 2011",5448.15,5452.6,5411.25,5428.1
"May 20, 2011",5450.65,5517.55,5432.75,5486.35
"May 23, 2011",5456.7,5456.7,5373.0,5386.55
"May 24, 2011",5385.1,5422.6,5367.45,5394.85
"May 25, 2011",5389.1,5389.1,5328.7,5348.95
"May 26, 2011",5372.75,5422.2,5356.35,5412.35
"May 27, 2011",5413.7,5485.8,5413.6,5476.1
"May 30, 2011",5493.75,5509.3,5458.6,5473.1
"Jun 01, 2011",5561.05,5597.35,5559.45,5592.0
