Date,High,Low,Open,Close,Volume,Adj Close
"Nov 19, 2018",156.5,153.1,156.0,154.55,4614296,132.65
"Nov 20, 2018",155.8,152.65,154.55,153.1,5480470,131.4
"Nov 21, 2018",155.5,151.3,155.0,151.75,4573137,130.25
"Nov 22, 2018",154.3,151.65,152.5,152.25,4477092,130.67
"Nov 26, 2018",153.6,145.1,153.0,146.6,8093330,125.83
"Nov 27, 2018",147.85,144.25,147.4,146.1,9231112,125.4
"Nov 28, 2018",148.2,142.05,146.8,142.8,14201939,122.56
"Nov 29, 2018",143.9,137.65,143.9,140.6,28991042,120.68
"Nov 30, 2018",143.7,138.5,141.6,140.3,23675557,120.42
"Dec 03, 2018",143.0,140.2,140.95,142.5,8371191,122.31
"Dec 04, 2018",147.95,142.4,142.6,146.15,9753442,125.44
"Dec 05, 2018",148.1,142.4,145.95,143.7,9774733,123.34
"Dec 06, 2018",142.6,138.5,142.6,140.15,5771659,120.29
"Dec 07, 2018",141.45,138.05,140.2,139.4,10571838,119.65
"Dec 10, 2018",141.25,135.15,138.5,137.1,33096556,117.67
"Dec 11, 2018",138.95,134.75,136.0,138.1,14884397,118.53
"Dec 12, 2018",142.5,138.85,139.5,141.7,14020937,121.62
"Dec 13, 2018",144.2,141.5,143.0,143.3,11251819,122.99
"Dec 14, 2018",150.4,140.6,143.0,146.85,23355616,126.04
"Dec 17, 2018",149.9,146.1,148.0,148.25,12767531,127.24
"Dec 18, 2018",148.95,146.3,147.9,147.6,10474177,126.68
"Dec 19, 2018",148.8,147.3,147.5,148.25,7008346,127.24
"Dec 20, 2018",150.75,147.4,147.95,148.6,21204077,127.54
"Dec 21, 2018",149.3,147.6,149.0,148.5,17767999,127.46
"Dec 24, 2018",149.7,147.3,148.5,147.9,8200455,126.94
"Dec 26, 2018",149.45,145.75,148.1,146.6,9247671,125.83
"Dec 27, 2018",151.4,146.0,147.35,149.7,44356763,128.49
"Dec 28, 2018",151.5,148.0,148.2,150.5,10732729,129.17
"Dec 31, 2018",150.8,149.1,150.15,149.9,5778308,128.66
"Jan 01, 2019",150.1,148.0,150.0,148.5,4496586,127.46
"Jan 02, 2019",148.35,145.75,148.0,147.05,17436694,126.21
"Jan 03, 2019",145.65,141.6,145.0,142.4,26599483,122.22
"Jan 04, 2019",146.2,142.05,142.05,145.7,7395898,125.05
"Jan 07, 2019",148.4,145.75,147.55,147.85,12700566,126.9
"Jan 08, 2019",149.1,146.3,149.1,147.45,6163846,126.55
"Jan 09, 2019",148.2,144.85,147.9,145.3,4951441,124.71
"Jan 10, 2019",147.0,143.0,145.9,143.25,7131028,122.95
"Jan 11, 2019",145.5,143.65,144.0,144.65,7665486,124.15
"Jan 14, 2019",145.2,142.5,145.0,143.45,6028078,123.12
"Jan 15, 2019",145.5,144.05,144.7,145.15,3680774,124.58
"Jan 16, 2019",147.25,145.2,145.2,146.35,3667241,125.61
"Jan 17, 2019",147.45,144.45,146.5,145.0,5142302,124.45
"Jan 18, 2019",147.7,145.1,145.1,146.75,4904282,125.95
"Jan 21, 2019",147.2,144.1,147.0,144.7,4087312,124.19
"Jan 22, 2019",146.0,144.05,145.5,144.35,4113351,123.89
"Jan 23, 2019",145.55,143.0,144.7,143.3,4946218,122.99
"Jan 24, 2019",143.95,141.05,143.4,141.7,3820645,121.62
"Jan 25, 2019",144.45,141.65,142.1,142.0,3871762,121.88
"Jan 28, 2019",142.95,139.65,142.5,141.65,2910523,121.58
"Jan 29, 2019",143.7,140.1,142.3,141.05,7282910,121.06
"Jan 30, 2019",141.5,138.5,141.45,139.7,8511453,119.9
"Jan 31, 2019",142.8,139.25,140.2,141.25,28107358,121.23
"Feb 01, 2019",143.3,139.8,141.0,141.8,5260578,121.71
"Feb 04, 2019",147.45,142.45,142.5,146.25,9532350,125.52
"Feb 05, 2019",148.2,142.3,146.0,142.95,5413425,122.69
"Feb 06, 2019",147.75,142.5,143.4,146.7,5075180,125.91
"Feb 07, 2019",148.3,145.5,146.9,147.9,6080631,126.94
"Feb 08, 2019",148.3,143.15,146.3,144.15,4510762,123.72
"Feb 11, 2019",143.65,137.1,143.25,138.2,6424512,118.62
"Feb 12, 2019",140.95,136.55,138.5,137.45,6816203,117.97
"Feb 14, 2019",134.2,127.6,133.5,132.15,25346334,113.42
"Feb 15, 2019",140.9,133.4,138.0,135.0,37975666,115.87
"Feb 18, 2019",138.9,135.8,136.8,137.1,10614715,117.67
"Feb 19, 2019",140.35,137.2,137.2,139.15,9077045,119.43
"Feb 20, 2019",145.35,140.0,141.6,144.05,14236359,123.64
"Feb 21, 2019",148.6,144.2,145.0,146.95,13876243,126.13
"Feb 22, 2019",150.5,147.1,148.6,148.6,18273813,127.54
"Feb 25, 2019",149.35,145.7,149.0,147.75,20216077,126.81
"Feb 26, 2019",149.2,146.0,147.5,147.5,12458860,126.6
"Feb 27, 2019",149.75,146.5,148.75,148.0,11868751,127.03
"Feb 28, 2019",150.75,143.1,144.4,148.65,48854712,132.28
"Mar 01, 2019",150.2,147.85,149.9,149.1,9764801,132.68
"Mar 05, 2019",155.65,147.85,148.75,155.0,11194669,137.93
"Mar 06, 2019",157.0,152.8,155.1,154.8,15648948,137.75
"Mar 07, 2019",155.5,151.5,154.8,152.05,30210637,135.3
"Mar 08, 2019",152.6,147.0,152.1,150.4,17986042,133.83
"Mar 11, 2019",154.3,151.1,151.55,153.0,15880368,136.15
"Mar 12, 2019",155.6,151.1,154.0,151.85,10818012,135.12
"Mar 13, 2019",151.25,145.7,151.25,149.75,21001041,133.26
"Mar 14, 2019",152.5,149.5,150.0,151.05,6328309,134.41
"Mar 15, 2019",157.45,151.2,151.9,156.0,15483879,138.82
"Mar 18, 2019",157.3,153.6,155.0,154.65,7575127,137.62
"Mar 19, 2019",163.2,154.8,155.95,157.0,18289779,139.71
"Mar 20, 2019",157.05,150.6,156.65,151.85,28675956,135.12
"Mar 22, 2019",153.45,148.45,152.95,152.35,26751005,135.57
"Mar 25, 2019",160.55,150.7,152.0,158.65,22638399,141.18
"Mar 26, 2019",163.05,158.7,159.0,160.05,16694599,143.32
"Mar 27, 2019",161.4,157.5,160.15,160.1,10063152,143.37
"Mar 28, 2019",160.25,155.2,160.0,155.9,25492224,139.61
"Apr 01, 2019",160.95,155.8,160.5,157.25,20605152,140.82
"Apr 02, 2019",159.7,156.4,159.2,157.5,10435568,141.04
"Apr 03, 2019",159.1,154.6,158.55,155.45,8283863,139.21
"Apr 04, 2019",156.35,153.3,155.25,155.25,10752094,139.03
"Apr 05, 2019",157.15,153.95,156.0,156.55,6797106,140.19
"Apr 08, 2019",160.25,156.55,157.8,158.1,13120469,141.58
"Apr 09, 2019",158.9,157.05,158.6,157.55,8487177,141.09
"Apr 10, 2019",159.95,156.8,156.95,158.0,9363447,141.49
