Date,High,Low,Open,Close,Volume,Adj Close
"Nov 19, 2018",563.55,540.0,563.55,558.75,120868,533.78
"Nov 20, 2018",558.0,543.25,557.0,551.35,152419,526.71
"Nov 21, 2018",551.45,536.4,550.5,540.7,169614,516.54
"Nov 22, 2018",560.8,541.0,544.0,554.05,198375,529.29
"Nov 26, 2018",570.0,543.25,554.95,564.3,134927,539.08
"Nov 27, 2018",567.45,558.0,563.7,565.0,389434,539.75
"Nov 28, 2018",610.0,565.0,565.0,602.1,794634,575.2
"Nov 29, 2018",608.95,580.0,603.65,596.4,281846,569.75
"Nov 30, 2018",610.0,582.05,597.9,605.55,199348,578.49
"Dec 03, 2018",613.9,601.95,608.1,604.4,203815,577.39
"Dec 04, 2018",614.0,602.15,602.15,608.2,97466,581.02
"Dec 05, 2018",610.2,601.15,607.7,605.6,203801,578.54
"Dec 06, 2018",607.15,600.0,604.95,604.55,86623,577.54
"Dec 07, 2018",614.65,601.1,601.1,612.15,74075,584.8
"Dec 10, 2018",609.95,591.4,602.0,595.25,89756,568.65
"Dec 11, 2018",630.0,590.0,594.0,610.05,165444,582.79
"Dec 12, 2018",627.0,605.0,614.95,615.15,348961,587.66
"Dec 13, 2018",629.35,611.0,619.0,617.05,110174,589.48
"Dec 14, 2018",619.9,607.05,619.9,613.1,104322,585.7
"Dec 17, 2018",612.45,603.0,608.0,609.0,64825,581.79
"Dec 18, 2018",618.0,607.5,609.0,616.2,48231,588.67
"Dec 19, 2018",620.9,609.7,620.0,616.8,135732,589.24
"Dec 20, 2018",617.25,608.0,612.0,611.75,200556,584.41
"Dec 21, 2018",615.95,609.0,611.0,611.3,80992,583.98
"Dec 24, 2018",632.0,611.1,621.0,624.55,290619,596.64
"Dec 26, 2018",634.5,615.0,625.0,629.85,340245,601.71
"Dec 27, 2018",634.0,626.05,631.0,630.05,171096,601.9
"Dec 28, 2018",642.0,622.35,630.05,630.45,335609,602.28
"Dec 31, 2018",635.5,620.0,634.8,622.65,223468,594.83
"Jan 01, 2019",629.5,624.0,628.0,626.1,51296,598.12
"Jan 02, 2019",644.35,620.0,621.05,625.2,205680,597.26
"Jan 03, 2019",625.0,606.6,613.35,613.55,388186,586.13
"Jan 04, 2019",619.65,571.7,616.05,577.3,721076,551.5
"Jan 07, 2019",586.5,568.35,586.5,570.2,230558,544.72
"Jan 08, 2019",580.0,565.4,572.0,570.15,116342,544.67
"Jan 09, 2019",572.5,562.0,570.3,565.05,133830,539.8
"Jan 10, 2019",569.35,559.0,565.05,562.3,105368,537.17
"Jan 11, 2019",563.35,542.2,562.5,547.6,195258,523.13
"Jan 14, 2019",558.0,548.45,553.0,551.45,430309,526.81
"Jan 15, 2019",556.0,546.05,551.6,549.3,678102,524.75
"Jan 16, 2019",559.0,549.05,551.5,551.75,135328,527.1
