Date,High,Low,Open,Close,Volume,Adj Close
"Nov 19, 2018",570.65,567.5,567.5,569.75,465874,567.71
"Nov 20, 2018",571.6,569.8,571.6,569.9,638631,567.86
"Nov 21, 2018",574.4,570.5,573.3,570.7,170550,568.66
"Nov 22, 2018",573.85,570.8,573.85,570.85,593421,568.81
"Nov 26, 2018",573.6,570.6,571.5,570.9,656494,568.86
"Nov 27, 2018",573.4,570.8,571.5,570.95,483733,568.91
"Nov 28, 2018",572.0,570.8,572.0,571.1,658400,569.06
"Nov 29, 2018",572.8,570.6,572.45,571.3,577104,569.26
"Nov 30, 2018",571.95,570.6,571.45,570.9,398386,568.86
"Dec 03, 2018",573.0,570.8,572.25,570.9,235846,568.86
"Dec 04, 2018",576.9,570.6,571.8,570.85,213639,568.81
"Dec 05, 2018",571.65,570.0,571.0,570.75,370237,568.71
"Dec 06, 2018",571.2,570.0,570.7,570.4,280991,568.36
"Dec 07, 2018",604.95,570.0,570.4,570.65,256147,568.61
"Dec 10, 2018",573.25,570.0,572.4,570.25,320514,568.21
"Dec 11, 2018",574.95,563.1,570.25,570.2,203278,568.16
"Dec 12, 2018",573.7,568.5,570.5,569.85,215958,567.81
"Dec 13, 2018",579.0,569.05,570.5,571.6,287481,569.56
"Dec 14, 2018",576.35,569.5,570.5,570.85,383976,568.81
"Dec 17, 2018",572.8,567.05,571.0,570.65,139222,568.61
"Dec 18, 2018",571.35,568.0,570.5,569.35,206101,567.31
"Dec 19, 2018",571.2,569.5,569.95,569.75,79901,567.71
"Dec 20, 2018",571.4,569.0,569.8,570.15,73709,568.11
"Dec 21, 2018",580.0,562.0,570.0,566.8,233560,564.77
"Dec 24, 2018",579.9,566.0,567.5,570.3,92057,568.26
"Dec 26, 2018",575.0,568.25,569.5,572.1,171491,570.05
"Dec 27, 2018",578.95,569.55,572.45,572.7,408291,570.65
"Dec 28, 2018",598.8,570.0,573.9,570.3,507599,568.26
"Dec 31, 2018",573.55,570.5,573.0,571.0,633389,568.96
"Jan 01, 2019",573.0,570.5,572.95,572.15,180116,570.1
"Jan 02, 2019",574.95,570.5,571.95,572.45,337617,570.4
"Jan 03, 2019",578.35,568.0,572.8,574.55,371054,572.49
"Jan 04, 2019",579.15,570.15,574.55,574.45,176435,572.4
"Jan 07, 2019",592.85,570.5,574.75,576.3,473587,574.24
"Jan 08, 2019",574.3,569.5,571.6,571.25,179381,569.21
"Jan 09, 2019",572.6,568.0,571.0,570.9,501308,568.86
"Jan 10, 2019",575.45,567.0,571.5,569.4,186261,567.36
"Jan 11, 2019",571.95,567.15,569.4,569.95,129557,567.91
"Jan 14, 2019",575.0,569.0,570.5,573.3,141536,571.25
"Jan 15, 2019",590.0,567.5,574.5,578.0,512372,575.93
"Jan 16, 2019",593.9,574.5,578.5,590.5,265519,588.39
"Jan 17, 2019",625.0,589.75,593.0,593.6,1081041,591.48
"Jan 18, 2019",593.9,577.0,590.9,580.15,170184,578.07
"Jan 21, 2019",595.05,576.35,580.8,580.15,209040,578.07
"Jan 22, 2019",589.85,575.5,583.5,584.25,93508,582.16
"Jan 23, 2019",609.0,578.2,584.0,582.35,394733,580.27
"Jan 24, 2019",586.25,570.5,582.55,574.0,166006,571.95
"Jan 25, 2019",603.0,572.05,574.1,584.55,274953,582.46
"Jan 28, 2019",596.35,575.15,583.5,584.95,118476,582.86
"Jan 29, 2019",609.0,577.0,587.5,598.6,136141,596.46
"Jan 30, 2019",623.4,590.1,603.0,616.4,146134,614.2
"Jan 31, 2019",624.4,598.5,619.7,607.1,206452,604.93
"Feb 01, 2019",622.1,608.2,610.8,618.6,243162,616.39
"Feb 04, 2019",616.7,587.5,616.7,597.7,487694,595.56
"Feb 05, 2019",607.7,570.5,591.5,575.15,562444,573.09
"Feb 06, 2019",591.0,568.55,574.8,574.05,467269,572.0
"Feb 07, 2019",584.85,571.5,572.5,575.55,492981,573.49
"Feb 08, 2019",583.4,568.05,575.0,570.2,626594,568.16
"Feb 11, 2019",578.7,568.25,570.5,569.5,702527,567.46
"Feb 12, 2019",574.85,567.55,571.5,569.75,628304,567.71
"Feb 14, 2019",574.15,557.2,570.0,560.7,280272,558.69
"Feb 15, 2019",574.0,558.0,561.5,567.5,196990,565.47
"Feb 18, 2019",571.0,556.3,571.0,559.55,219829,557.55
"Feb 19, 2019",564.5,555.1,559.5,557.95,164825,555.95
"Feb 20, 2019",591.2,559.05,559.05,565.5,794817,563.48
"Feb 21, 2019",574.8,555.5,567.95,560.1,549899,558.1
"Feb 22, 2019",574.0,561.8,562.0,564.75,285324,562.73
"Feb 25, 2019",567.7,556.0,567.7,556.85,163727,554.86
"Feb 26, 2019",573.65,553.1,556.0,565.6,154578,563.58
"Feb 27, 2019",577.3,563.95,568.9,566.95,109819,564.92
"Feb 28, 2019",585.75,565.5,569.8,580.1,281654,578.03
"Mar 01, 2019",574.0,566.0,574.0,568.5,143814,566.47
"Mar 05, 2019",577.9,566.5,569.0,573.1,138218,571.05
"Mar 06, 2019",577.35,568.2,573.0,569.9,165740,567.86
"Mar 07, 2019",582.4,570.25,571.9,571.7,215776,569.66
"Mar 08, 2019",587.9,573.0,574.3,581.65,238041,579.57
"Mar 11, 2019",602.0,585.25,585.25,593.5,134555,591.38
"Mar 12, 2019",615.0,598.0,598.0,603.25,177989,601.09
"Mar 13, 2019",619.8,607.0,607.0,614.0,370280,611.8
"Mar 14, 2019",628.4,614.2,617.0,616.5,460503,614.29
"Mar 15, 2019",631.7,616.0,618.95,629.8,1110395,627.55
"Mar 18, 2019",638.0,631.0,631.95,631.3,454140,629.04
"Mar 19, 2019",643.8,634.0,634.4,635.9,522892,633.63
"Mar 20, 2019",650.0,637.55,638.0,646.35,471318,644.04
"Mar 22, 2019",656.55,643.0,648.6,653.2,306076,650.86
"Mar 25, 2019",680.0,649.5,650.25,653.35,883843,651.01
"Mar 26, 2019",659.85,652.0,654.25,655.1,435745,652.76
"Mar 27, 2019",674.6,656.0,659.15,667.3,340754,664.91
"Mar 28, 2019",676.0,665.0,668.45,671.25,409107,668.85
"Apr 01, 2019",674.85,663.05,665.0,669.1,440083,666.71
"Apr 02, 2019",710.0,669.5,672.55,681.3,841109,678.86
"Apr 03, 2019",710.0,674.9,674.9,687.55,987511,685.09
"Apr 04, 2019",685.0,667.0,683.0,672.35,406225,669.95
"Apr 05, 2019",687.8,665.5,673.4,679.95,248611,677.52
"Apr 08, 2019",680.3,665.5,678.95,670.2,248794,667.8
"Apr 09, 2019",674.65,661.25,671.45,669.5,196446,667.11
"Apr 10, 2019",670.0,656.5,670.0,659.2,239094,656.84
