Date,High,Low,Open,Close,Volume,Adj Close
"Nov 19, 2018",804.7,776.4,783.0,782.1,1769056,779.18
"Nov 20, 2018",792.0,772.05,778.8,789.1,803600,786.15
"Nov 21, 2018",810.0,793.0,794.0,804.5,1343050,801.49
"Nov 22, 2018",818.0,800.0,811.5,814.85,777933,811.81
"Nov 26, 2018",822.2,797.7,816.0,808.15,430530,805.13
"Nov 27, 2018",820.5,801.15,810.0,816.35,457310,813.3
"Nov 28, 2018",826.4,812.05,820.1,816.45,521199,813.4
"Nov 29, 2018",829.25,810.75,822.0,826.2,727375,823.11
"Nov 30, 2018",829.9,805.7,829.0,809.5,443178,806.48
"Dec 03, 2018",818.15,793.15,814.0,803.45,434423,800.45
"Dec 04, 2018",822.0,802.5,804.9,812.65,484180,809.61
"Dec 05, 2018",817.2,793.0,810.3,799.2,428028,796.21
"Dec 06, 2018",797.0,768.25,795.0,773.0,494909,770.11
"Dec 07, 2018",795.0,767.0,768.0,790.2,608603,787.25
"Dec 10, 2018",784.55,761.0,780.0,763.9,330449,761.05
"Dec 11, 2018",794.7,755.65,762.45,789.8,382525,786.85
"Dec 12, 2018",816.0,792.0,798.6,813.5,411856,810.46
"Dec 13, 2018",879.85,830.0,846.2,864.25,2486426,861.02
"Dec 14, 2018",862.0,845.0,860.2,849.65,791519,846.48
"Dec 17, 2018",868.9,849.65,858.0,857.15,719225,853.95
"Dec 18, 2018",864.0,846.6,856.45,852.3,372405,849.12
"Dec 19, 2018",863.0,849.0,857.0,853.4,506409,850.21
"Dec 20, 2018",871.65,848.9,852.6,858.15,881497,854.94
"Dec 21, 2018",885.0,853.3,862.0,859.5,1473699,856.29
"Dec 24, 2018",864.05,827.1,860.9,834.7,734898,831.58
"Dec 26, 2018",838.95,813.05,830.1,833.65,473376,830.54
"Dec 27, 2018",852.0,823.2,841.7,827.7,1014851,824.61
"Dec 28, 2018",840.85,830.3,834.0,837.05,477142,833.92
"Dec 31, 2018",848.5,836.05,841.0,844.75,605339,841.59
"Jan 01, 2019",847.7,837.65,846.0,842.95,186250,839.8
"Jan 02, 2019",844.35,812.55,841.0,817.3,453950,814.25
"Jan 03, 2019",828.8,805.85,818.6,811.55,514410,808.52
"Jan 04, 2019",824.5,802.3,815.0,822.3,400597,819.23
"Jan 07, 2019",827.0,810.0,824.15,813.9,202634,810.86
"Jan 08, 2019",823.45,807.55,814.4,814.9,332222,811.86
"Jan 09, 2019",821.35,795.0,814.9,804.8,652758,801.79
"Jan 10, 2019",817.4,792.7,797.0,809.2,495685,806.18
"Jan 11, 2019",820.0,808.65,809.2,816.1,284759,813.05
"Jan 14, 2019",821.0,806.05,813.0,814.85,227366,811.81
"Jan 15, 2019",826.1,810.65,819.0,815.2,407151,812.15
"Jan 16, 2019",827.65,811.0,811.0,815.85,504484,812.8
"Jan 17, 2019",829.8,806.55,820.0,809.45,883406,806.43
"Jan 18, 2019",814.7,797.9,814.7,806.95,644948,803.94
"Jan 21, 2019",814.5,791.45,804.0,805.95,519418,802.94
"Jan 22, 2019",824.0,804.5,814.4,812.85,1242706,809.81
"Jan 23, 2019",830.0,805.0,813.0,813.9,2573606,810.86
"Jan 24, 2019",826.1,792.0,826.1,796.15,1010345,793.18
"Jan 25, 2019",805.1,766.85,802.55,774.4,944678,771.51
"Jan 28, 2019",774.0,736.25,774.0,746.65,708484,743.86
"Jan 29, 2019",768.0,738.5,740.0,763.35,455665,760.5
"Jan 30, 2019",773.35,751.55,760.0,764.0,343827,761.15
"Jan 31, 2019",767.55,751.0,766.0,754.35,293615,751.53
"Feb 01, 2019",764.95,738.45,756.2,742.65,374709,739.88
"Feb 04, 2019",752.9,732.35,742.0,743.05,456333,740.27
"Feb 05, 2019",746.0,719.55,743.0,728.5,357403,725.78
"Feb 06, 2019",732.8,697.6,728.0,711.1,510679,708.44
"Feb 07, 2019",722.95,627.7,715.1,653.7,3927614,651.26
"Feb 08, 2019",709.9,660.0,660.95,687.55,4933002,684.98
"Feb 11, 2019",695.9,668.65,689.25,687.75,913837,685.18
"Feb 12, 2019",699.0,680.0,687.0,695.1,614403,692.5
"Feb 14, 2019",708.4,688.05,700.0,704.55,542212,701.92
"Feb 15, 2019",702.5,681.85,701.5,686.35,401990,683.79
"Feb 18, 2019",689.5,674.0,684.0,686.75,437828,684.18
"Feb 19, 2019",694.85,681.1,683.05,683.6,318893,681.05
"Feb 20, 2019",691.5,681.5,688.0,688.5,377606,685.93
"Feb 21, 2019",702.45,685.0,685.0,698.65,583286,696.04
"Feb 22, 2019",733.0,693.85,704.0,728.15,923911,725.43
"Feb 25, 2019",761.55,728.5,731.0,755.2,1316270,752.38
"Feb 26, 2019",760.9,739.0,749.95,756.8,712074,753.97
"Feb 27, 2019",781.8,756.2,760.7,765.35,916370,762.49
"Feb 28, 2019",775.0,752.0,769.95,767.75,612230,764.88
"Mar 01, 2019",792.6,767.0,767.75,786.2,951574,783.26
"Mar 05, 2019",794.45,780.25,790.0,790.9,550054,787.95
"Mar 06, 2019",833.9,791.05,794.0,817.45,1881016,814.4
"Mar 07, 2019",835.5,808.0,821.4,815.15,1277275,812.1
"Mar 08, 2019",818.5,805.0,813.0,808.15,494961,805.13
"Mar 11, 2019",825.6,808.1,813.35,819.8,650900,816.74
"Mar 12, 2019",827.5,810.1,823.0,815.35,455810,812.3
"Mar 13, 2019",824.0,806.3,818.5,809.4,438805,806.38
"Mar 14, 2019",818.5,793.15,811.0,815.7,674769,812.65
"Mar 15, 2019",833.65,811.0,813.0,816.15,1433188,813.1
"Mar 18, 2019",831.3,812.25,815.9,818.5,753664,815.44
"Mar 19, 2019",830.95,814.8,823.0,821.3,766396,818.23
"Mar 20, 2019",838.6,813.0,823.0,818.0,1713786,814.94
"Mar 22, 2019",824.8,805.0,820.0,809.9,625410,806.87
