Date,High,Low,Open,Close,Volume,Adj Close
"Nov 19, 2018",693.0,675.4,692.8,684.05,18234,674.21
"Nov 20, 2018",685.7,664.0,685.7,666.0,41242,656.42
"Nov 21, 2018",677.95,655.0,671.0,658.1,28499,648.63
"Nov 22, 2018",667.9,645.6,662.95,652.4,24076,643.01
"Nov 26, 2018",675.0,639.0,650.0,640.75,27452,631.53
"Nov 27, 2018",644.2,630.05,640.15,632.0,28717,622.91
"Nov 28, 2018",644.0,631.0,631.0,635.0,21611,625.86
"Nov 29, 2018",645.0,627.2,641.0,630.3,32568,621.23
"Nov 30, 2018",638.8,620.55,631.0,624.45,30620,615.47
"Dec 03, 2018",644.0,628.5,628.5,633.5,38969,624.39
"Dec 04, 2018",635.6,625.0,635.6,627.4,22238,618.37
"Dec 05, 2018",631.0,615.0,627.4,622.5,31090,613.54
"Dec 06, 2018",627.55,615.5,620.95,620.85,153840,611.92
"Dec 07, 2018",625.4,613.0,622.2,618.25,81401,609.35
"Dec 10, 2018",617.0,601.05,617.0,605.05,15588,596.34
"Dec 11, 2018",647.65,595.0,601.05,633.05,70485,623.94
"Dec 12, 2018",654.0,629.95,630.0,650.7,49111,641.34
"Dec 13, 2018",663.7,646.05,650.4,648.0,136464,638.68
"Dec 14, 2018",659.0,640.0,645.8,647.6,24107,638.28
"Dec 17, 2018",655.7,642.4,644.4,646.95,28684,637.64
"Dec 18, 2018",657.35,643.8,643.8,650.05,156164,640.7
"Dec 19, 2018",664.0,648.05,651.7,651.05,32729,641.68
"Dec 20, 2018",666.0,640.1,652.95,655.85,91063,646.41
"Dec 21, 2018",662.0,642.1,658.55,644.85,34168,635.57
"Dec 24, 2018",646.6,623.0,644.85,627.0,37488,617.98
"Dec 26, 2018",625.2,610.0,625.2,618.4,33071,609.5
"Dec 27, 2018",629.75,616.0,623.35,618.65,35423,609.75
"Dec 28, 2018",627.5,618.1,619.0,619.7,23795,610.78
"Dec 31, 2018",628.95,615.75,624.6,620.25,34133,611.33
"Jan 01, 2019",623.05,615.95,622.6,619.7,21538,610.78
"Jan 02, 2019",623.0,608.0,616.6,610.45,32915,601.67
"Jan 03, 2019",614.95,606.95,612.9,609.2,20002,600.44
"Jan 04, 2019",625.0,608.0,609.65,622.1,31736,613.15
"Jan 07, 2019",635.45,622.9,625.0,631.05,137101,621.97
"Jan 08, 2019",643.0,629.25,630.8,635.3,40329,626.16
"Jan 09, 2019",644.85,631.2,636.95,637.85,50233,628.67
"Jan 10, 2019",651.05,637.0,641.3,648.1,44078,638.78
"Jan 11, 2019",656.9,647.6,650.7,650.95,29010,641.58
"Jan 14, 2019",653.0,633.0,650.9,636.65,47456,627.49
"Jan 15, 2019",638.8,619.5,635.4,625.1,89833,616.11
"Jan 16, 2019",624.0,616.0,617.0,619.3,29746,610.39
"Jan 17, 2019",623.7,613.0,620.0,614.3,23007,605.46
"Jan 18, 2019",618.7,596.0,615.0,602.9,32613,594.23
"Jan 21, 2019",606.75,588.3,604.85,591.4,32558,582.89
"Jan 22, 2019",596.0,581.0,596.0,586.2,21870,577.77
"Jan 23, 2019",600.0,586.25,588.0,597.45,23068,588.85
"Jan 24, 2019",615.0,595.0,602.5,599.7,30544,591.07
"Jan 25, 2019",606.7,586.65,600.0,590.8,19417,582.3
"Jan 28, 2019",597.0,588.05,592.0,592.45,47633,583.93
"Jan 29, 2019",609.1,589.95,595.0,602.35,62399,593.68
"Jan 30, 2019",614.5,597.25,606.0,605.5,72451,596.79
"Jan 31, 2019",617.95,605.6,606.0,612.1,39284,603.29
"Feb 01, 2019",628.0,600.0,617.9,623.4,47158,614.43
"Feb 04, 2019",623.0,606.0,623.0,610.5,14121,601.72
"Feb 05, 2019",624.0,605.0,606.0,608.85,37311,600.09
"Feb 06, 2019",613.75,588.6,607.95,601.5,47337,592.85
"Feb 07, 2019",618.95,601.5,604.15,605.5,20793,596.79
"Feb 08, 2019",610.0,594.9,609.0,600.2,24167,591.56
"Feb 11, 2019",603.65,589.2,595.0,600.45,25754,591.81
"Feb 12, 2019",612.0,593.65,596.45,599.9,38612,591.27
"Feb 14, 2019",601.6,594.0,595.1,597.55,14060,588.95
"Feb 15, 2019",601.8,582.05,598.0,585.9,23804,577.47
"Feb 18, 2019",593.5,568.0,593.25,572.25,17996,564.02
"Feb 19, 2019",592.4,555.75,583.0,576.1,45094,567.81
"Feb 20, 2019",593.75,576.0,576.0,584.85,25397,576.44
"Feb 21, 2019",593.0,580.0,580.0,585.65,13608,577.22
"Feb 22, 2019",597.0,582.0,588.15,583.3,24008,574.91
"Feb 25, 2019",617.0,580.4,580.4,604.3,86067,595.61
"Feb 26, 2019",607.0,581.05,597.85,591.35,65394,582.84
"Feb 27, 2019",604.8,585.6,594.0,591.35,33611,582.84
"Feb 28, 2019",614.0,595.0,597.0,600.9,59452,592.25
