Date,High,Low,Open,Close,Volume,Adj Close
"Nov 19, 2018",703.38,683.74,697.23,691.38,53920,656.04
"Nov 20, 2018",694.41,673.2,693.48,676.19,71311,641.63
"Nov 21, 2018",681.18,673.88,680.33,678.79,32196,644.1
"Nov 22, 2018",685.45,670.73,679.82,673.54,43244,639.12
"Nov 26, 2018",679.05,662.4,670.09,665.73,43710,631.7
"Nov 27, 2018",669.96,658.9,666.59,663.43,44087,629.52
"Nov 28, 2018",669.15,660.7,667.44,661.85,33816,628.02
"Nov 29, 2018",683.49,660.7,665.65,665.9,134792,631.87
"Nov 30, 2018",673.29,662.4,670.94,667.4,39146,633.28
"Dec 03, 2018",679.31,666.84,676.92,669.7,48451,635.47
"Dec 04, 2018",674.35,662.92,674.35,664.62,33443,630.65
"Dec 05, 2018",665.14,643.62,663.09,658.78,95832,625.1
"Dec 06, 2018",661.38,643.62,657.32,648.53,55409,615.38
"Dec 07, 2018",652.16,637.65,652.16,640.38,50730,607.65
"Dec 10, 2018",655.32,631.67,638.5,636.28,108914,603.76
"Dec 11, 2018",651.56,620.58,631.93,637.09,123380,604.53
"Dec 12, 2018",656.43,641.92,642.69,648.87,112315,615.71
"Dec 13, 2018",656.43,641.06,652.93,643.58,86827,610.68
"Dec 14, 2018",647.64,638.5,642.77,641.36,44612,608.58
"Dec 17, 2018",663.85,642.86,644.9,647.17,267368,614.09
"Dec 18, 2018",665.73,645.2,646.78,662.79,151704,628.91
"Dec 19, 2018",672.01,658.82,667.35,670.0,139014,635.75
"Dec 20, 2018",697.4,658.65,667.7,693.01,341905,657.58
"Dec 21, 2018",723.61,685.45,696.55,714.77,438954,678.24
"Dec 24, 2018",729.75,692.75,712.17,723.57,312173,686.58
"Dec 26, 2018",729.88,708.5,711.91,722.54,99560,685.61
"Dec 27, 2018",740.34,721.3,725.57,729.37,233098,692.09
"Dec 28, 2018",745.55,729.37,732.4,735.77,145428,698.16
"Dec 31, 2018",745.2,721.82,739.23,732.14,90279,694.72
"Jan 01, 2019",734.96,714.73,734.96,724.25,70674,687.23
"Jan 02, 2019",736.67,699.75,722.33,714.43,133227,677.91
"Jan 03, 2019",718.74,698.26,714.64,705.0,67904,668.96
"Jan 04, 2019",712.47,690.19,705.0,694.63,61529,659.12
"Jan 07, 2019",704.23,691.51,699.96,694.33,32043,658.84
"Jan 08, 2019",698.21,685.45,694.16,691.51,69764,656.17
"Jan 09, 2019",712.77,688.4,696.55,708.5,224177,672.28
"Jan 10, 2019",720.45,702.99,710.21,711.66,154022,675.28
"Jan 11, 2019",716.14,689.29,711.06,696.76,170070,661.15
"Jan 14, 2019",681.18,645.37,675.46,666.5,332927,632.43
"Jan 15, 2019",674.87,660.27,673.33,669.1,96681,634.9
"Jan 16, 2019",676.36,667.61,676.36,670.81,79321,636.52
"Jan 17, 2019",674.31,662.02,671.79,664.96,85921,630.98
"Jan 18, 2019",674.65,656.39,674.65,657.71,122569,624.09
"Jan 21, 2019",661.51,644.48,658.9,648.45,44625,615.3
"Jan 22, 2019",645.8,630.39,645.33,633.81,82693,601.41
"Jan 23, 2019",637.18,624.93,625.7,627.45,67879,595.38
"Jan 24, 2019",630.09,604.78,630.09,608.67,85764,577.56
"Jan 25, 2019",618.02,588.99,608.03,594.03,56308,563.67
"Jan 28, 2019",595.52,571.75,591.55,573.8,66212,544.47
"Jan 29, 2019",610.16,564.49,568.51,597.1,179444,566.58
