Date,High,Low,Open,Close,Volume,Adj Close
"Nov 19, 2018",251.55,241.13,244.13,249.64,3756672,247.38
"Nov 20, 2018",248.18,240.08,248.18,240.98,3453657,238.79
"Nov 21, 2018",240.0,234.94,240.0,235.61,3471908,233.48
"Nov 22, 2018",239.1,229.5,236.25,230.33,4119744,228.24
"Nov 26, 2018",239.93,226.99,227.55,238.84,9328557,236.68
"Nov 27, 2018",241.73,233.25,237.64,234.04,5729117,231.92
"Nov 28, 2018",236.66,231.94,235.46,232.73,8463352,230.62
"Nov 29, 2018",237.49,232.2,235.5,236.18,3896692,234.04
"Nov 30, 2018",244.8,235.28,236.29,243.49,8495625,241.28
"Dec 03, 2018",247.13,242.29,243.75,246.19,3557631,243.96
"Dec 04, 2018",255.94,244.28,246.19,251.21,7962548,248.94
"Dec 05, 2018",254.03,246.11,249.75,252.34,5132105,250.05
"Dec 06, 2018",252.34,246.75,249.94,248.74,3116132,246.49
"Dec 07, 2018",252.26,243.34,249.6,249.98,4632134,247.71
"Dec 10, 2018",252.38,243.83,246.23,244.95,4264146,242.73
"Dec 11, 2018",250.35,243.6,244.05,246.0,5897618,243.77
"Dec 12, 2018",249.0,245.96,247.35,247.54,3514224,245.3
"Dec 13, 2018",257.96,246.75,248.25,253.99,6864122,251.69
"Dec 14, 2018",257.25,249.23,254.25,249.83,6396041,247.56
"Dec 17, 2018",256.31,250.8,251.96,254.7,4581001,252.39
"Dec 18, 2018",253.8,249.41,251.44,251.29,4932202,249.01
"Dec 19, 2018",256.69,248.55,251.29,255.53,4989004,253.21
"Dec 20, 2018",255.0,249.26,252.19,249.94,3210869,247.67
"Dec 21, 2018",251.1,240.56,249.9,241.58,13104680,239.39
"Dec 24, 2018",247.88,241.05,242.03,245.03,5642515,242.81
"Dec 26, 2018",245.48,239.51,244.28,244.61,3140692,242.4
"Dec 27, 2018",248.51,243.0,245.85,245.59,6763532,243.36
"Dec 28, 2018",249.68,244.35,244.65,247.54,2972603,245.3
"Dec 31, 2018",250.35,246.79,248.25,248.14,2848160,245.89
"Jan 01, 2019",249.56,244.05,248.06,244.99,2018271,242.77
"Jan 02, 2019",248.48,242.25,246.6,244.16,4411069,241.95
"Jan 03, 2019",245.96,242.29,245.25,244.13,4723040,241.91
"Jan 04, 2019",245.14,239.74,243.38,243.34,3207036,241.13
"Jan 07, 2019",245.06,241.73,244.58,243.19,2538138,240.99
"Jan 08, 2019",245.63,241.95,243.75,244.16,2779544,241.95
"Jan 09, 2019",249.45,243.41,243.41,246.75,5237173,244.52
"Jan 10, 2019",248.29,242.25,248.1,244.31,4132521,242.1
"Jan 11, 2019",247.43,242.63,244.2,246.53,2131918,244.29
"Jan 14, 2019",248.33,233.51,247.54,234.41,9217761,232.29
"Jan 15, 2019",249.23,236.29,239.25,247.35,20094388,245.11
"Jan 16, 2019",254.85,246.79,248.85,252.41,13195050,250.13
"Jan 17, 2019",253.95,248.7,252.75,251.55,7052243,249.27
"Jan 18, 2019",260.63,250.05,252.0,259.61,13455951,257.26
"Jan 21, 2019",258.68,249.9,255.0,253.35,20829125,251.06
"Jan 22, 2019",262.2,252.0,252.6,259.88,8908963,257.52
"Jan 23, 2019",266.85,261.0,261.49,263.66,13249898,261.28
"Jan 24, 2019",264.75,259.88,262.65,263.81,5640726,261.42
"Jan 25, 2019",268.76,261.0,261.19,265.09,6982068,262.69
"Jan 28, 2019",272.03,265.69,265.76,266.36,9199940,263.95
"Jan 29, 2019",270.6,264.79,267.0,269.55,6160130,267.86
"Jan 30, 2019",275.74,268.5,269.25,272.44,9878580,270.73
"Jan 31, 2019",278.55,272.48,274.5,276.9,10258758,275.17
"Feb 01, 2019",279.34,272.63,277.58,278.66,4488804,276.92
"Feb 04, 2019",281.03,276.08,277.5,278.44,4191628,276.7
"Feb 05, 2019",279.15,274.35,277.5,276.34,3275200,274.61
"Feb 06, 2019",281.21,276.56,276.86,279.15,2905680,277.4
"Feb 07, 2019",280.88,277.24,279.0,280.2,2991240,278.45
"Feb 08, 2019",281.18,276.53,278.63,279.53,1867904,277.78
"Feb 11, 2019",283.05,277.28,278.18,279.79,3963703,278.04
"Feb 12, 2019",282.19,276.26,280.61,281.25,3969660,279.49
"Feb 14, 2019",283.8,280.46,282.3,281.33,4099801,279.57
"Feb 15, 2019",283.01,277.61,281.44,282.08,4696896,280.31
"Feb 18, 2019",284.1,278.06,284.1,281.7,4640098,279.94
"Feb 19, 2019",281.55,271.65,279.41,272.59,4085809,270.88
"Feb 20, 2019",280.5,270.9,272.4,279.15,5880643,277.4
"Feb 21, 2019",282.6,278.1,279.6,280.91,3430779,279.16
"Feb 22, 2019",285.0,280.13,281.25,284.06,4259550,282.29
"Feb 25, 2019",290.03,284.44,285.6,289.05,6237958,287.24
"Feb 26, 2019",291.71,285.94,288.38,290.74,5070048,288.92
"Feb 27, 2019",287.89,279.3,285.19,280.8,10678686,279.04
"Feb 28, 2019",282.53,274.95,281.18,276.68,12571016,274.94
"Mar 01, 2019",283.76,274.13,278.18,281.78,9381886,280.01
"Mar 05, 2019",280.99,271.5,280.5,272.7,18021315,270.99
"Mar 06, 2019",285.9,273.1,274.4,277.45,21507060,275.71
"Mar 07, 2019",280.3,267.5,280.0,268.85,8100134,267.17
"Mar 08, 2019",262.25,256.55,261.1,257.7,27344869,256.09
"Mar 11, 2019",260.9,257.45,259.0,259.75,7354227,258.13
"Mar 12, 2019",263.35,260.15,261.0,261.35,6290354,259.72
"Mar 13, 2019",265.6,256.2,262.5,257.9,7219723,256.29
"Mar 14, 2019",259.7,255.0,259.35,256.85,4489473,255.24
"Mar 15, 2019",264.25,257.2,258.0,263.45,8720097,261.8
"Mar 18, 2019",264.75,256.05,264.75,257.6,5748614,255.99
"Mar 19, 2019",258.9,255.1,257.8,257.45,5051847,255.84
"Mar 20, 2019",263.0,258.4,258.4,261.55,6114562,259.91
"Mar 22, 2019",263.75,258.5,262.45,260.55,3198029,258.92
"Mar 25, 2019",262.0,256.0,262.0,256.5,3373962,254.9
"Mar 26, 2019",258.6,253.4,257.1,255.0,3850516,253.4
"Mar 27, 2019",256.4,253.75,255.2,254.55,3357731,252.96
"Mar 28, 2019",257.9,254.1,255.9,254.75,7104836,253.16
"Apr 01, 2019",263.9,255.95,256.0,261.65,7066566,260.01
"Apr 02, 2019",263.9,259.2,263.4,261.65,3706567,260.01
"Apr 03, 2019",263.1,258.2,262.4,261.65,3769354,260.01
"Apr 04, 2019",262.25,254.95,261.0,259.05,6419198,257.43
"Apr 05, 2019",263.85,259.5,261.0,262.1,3614552,260.46
"Apr 08, 2019",265.5,260.75,263.7,263.7,3637464,262.05
"Apr 09, 2019",275.0,263.35,263.5,273.8,13991384,272.09
"Apr 10, 2019",281.8,275.0,278.0,281.0,18530666,279.24
"Apr 11, 2019",284.6,280.15,283.5,281.3,9441628,279.54
"Apr 12, 2019",284.7,281.4,282.4,283.4,5789054,281.63
"Apr 15, 2019",289.5,284.15,285.0,287.7,7067192,285.9
"Apr 16, 2019",291.45,278.0,291.35,280.9,20367059,279.14
"Apr 18, 2019",289.55,280.2,289.0,284.8,27425578,283.02
"Apr 22, 2019",289.0,285.1,285.5,288.25,8412054,286.45
"Apr 23, 2019",291.85,286.7,289.7,291.1,6177784,289.28
"Apr 24, 2019",294.3,290.2,292.05,293.05,9149069,291.22
"Apr 25, 2019",295.95,292.85,293.05,295.2,10390816,293.35
"Apr 26, 2019",296.65,293.5,296.4,294.8,6196551,292.96
"Apr 30, 2019",299.45,295.0,295.0,298.55,7339917,296.68
"May 02, 2019",298.85,292.65,298.55,293.65,4539125,291.81
"May 03, 2019",293.7,288.55,293.5,290.9,7408308,289.08
"May 06, 2019",293.8,289.2,289.9,290.85,4304345,289.03
"May 07, 2019",294.95,290.3,292.65,293.85,4353844,292.01
"May 08, 2019",294.25,290.05,294.25,290.85,3952116,289.03
"May 09, 2019",293.1,290.3,291.8,291.05,3748997,289.23
"May 10, 2019",292.4,290.0,291.5,290.35,3066672,288.53
"May 13, 2019",293.5,288.25,290.5,289.1,4281950,287.29
"May 14, 2019",289.0,283.1,289.0,284.6,8370424,282.82
"May 15, 2019",285.95,282.3,285.5,283.0,4315622,281.23
"May 16, 2019",287.0,283.85,283.85,285.35,3595548,283.57
"May 17, 2019",289.9,285.3,286.5,286.4,3356781,284.61
"May 20, 2019",291.5,287.4,289.5,290.25,4183461,288.43
"May 21, 2019",291.0,286.0,290.6,286.9,2514667,285.11
"May 22, 2019",287.5,281.0,287.0,283.1,7650054,281.33
"May 23, 2019",285.9,281.5,285.6,282.2,4856284,280.43
"May 24, 2019",284.2,280.0,283.9,282.9,4927649,281.13
"May 27, 2019",284.1,280.2,284.0,280.5,5450311,278.75
"May 28, 2019",285.75,279.65,281.0,282.95,44137428,281.18
"May 29, 2019",288.5,283.5,284.5,285.7,5505873,283.91
"May 30, 2019",290.0,285.5,286.0,288.0,11575957,286.2
"May 31, 2019",290.0,285.0,288.15,286.4,7324481,284.61
"Jun 03, 2019",292.05,287.25,288.5,291.3,5853338,289.48
"Jun 04, 2019",295.95,290.8,294.0,293.75,11081667,291.91
"Jun 06, 2019",294.6,291.0,294.0,291.5,8600880,289.68
"Jun 07, 2019",295.9,292.0,292.5,295.05,6784884,293.2
"Jun 10, 2019",298.0,295.5,295.75,297.1,7481893,295.24
"Jun 11, 2019",299.5,296.1,297.0,297.7,7234084,295.84
"Jun 12, 2019",298.8,296.85,297.5,298.0,6222540,296.14
"Jun 13, 2019",298.9,297.15,298.0,298.4,5002281,296.53
